rank,component,subjectID,score,fractionComponentScoreEnergy
1,1,row_020,-17.48324995193,0.0537696007574786
1,1,row_057,-17.4604790847086,0.0536296287154014
1,1,row_056,12.230755336801,0.0263147371300268
1,1,row_326,-12.1090328679905,0.025793566389312
1,1,row_255,-10.5607342737578,0.0196191735530544
1,1,row_129,-9.13022175388801,0.0146640904318697
1,1,row_256,-8.86375603916633,0.0138206372196368
1,1,row_409,8.50617036176345,0.0127280136307075
1,1,row_209,-8.4043268252471,0.0124250556991492
1,1,row_305,-8.40005706552117,0.0124124339800825
1,1,row_080,-8.26877255342935,0.0120274779910681
1,1,row_170,-8.1388702555936,0.0116525434041566
1,1,row_130,8.0440091612112,0.0113824982381996
1,1,row_257,-7.99382308751229,0.0112409118949796
1,1,row_226,-7.96506757074859,0.0111601853520314
2,1,row_020,-48.6916977736083,0.0530779465972357
2,1,row_057,-42.9044713173702,0.0412106426784002
2,1,row_326,-35.3282246366137,0.0279413833728153
2,1,row_129,-28.7381725339433,0.0184893895804099
2,1,row_056,27.7143354316182,0.0171954369370649
2,1,row_409,27.1657393692767,0.0165214186830596
2,1,row_130,26.7538408529514,0.0160242073629026
2,1,row_347,-23.6980099437573,0.0125726849344843
2,1,row_007,23.6070087172785,0.0124763111881824
2,1,row_127,-23.2999693740487,0.0121538809521019
2,1,row_170,-23.0404996545637,0.0118846956239288
2,1,row_255,-22.3908101391619,0.0112239026847102
2,1,row_080,-22.0611344564933,0.0108958210227574
2,1,row_305,-21.7328012294106,0.0105739120447979
2,1,row_261,-21.6093552404536,0.0104541299851031
2,2,row_020,42.2699644969515,0.0419126968875664
2,2,row_326,31.9552870270949,0.0239534065730484
2,2,row_057,29.8536381224727,0.0209062610349026
2,2,row_129,29.2185079008527,0.0200261704653253
2,2,row_130,-29.0268265070004,0.019764278037158
2,2,row_409,-27.7130364298721,0.018015655384499
2,2,row_007,-26.8038286094853,0.016852933418847
2,2,row_128,25.6877844969547,0.0154787233686866
2,2,row_261,25.0225624581871,0.014687416288927
2,2,row_116,24.5792618300552,0.0141716204471142
2,2,row_127,23.6528370992104,0.0131234590955595
2,2,row_025,23.5409769129362,0.0129996243673452
2,2,row_347,22.6280377637903,0.0120109021853686
2,2,row_101,22.13359833633,0.0114917425873122
2,2,row_285,-21.2014510921054,0.0105441849056918
