rank,cpEnergyFit,svdEnergyFit,bestStartConverged,possibleDegeneracy,medianSplitHalfCongruence,convergedStarts,totalStarts,cancellationRatio,convergedSplitFits,totalSplitFits,flaggedSplitFits,groupMeanEnergyFit
1,0.0216018860529619,0.0252048359147373,1,0,0.671601044319809,10,10,1,4,4,0,0.287952366921579
2,0.0401401023525331,0.0460013036103549,1,0,0.711675244362511,10,10,4.06528398584889,4,4,0,0.317759631580217
3,0.0550383403080784,0.0638064677824934,0,0,0.702647034156617,5,10,4.39465002527297,3,4,0,0.310657358406636
4,0.0668829029904964,0.0782705882362037,0,1,0.619648631552516,0,10,11.9475267130431,0,4,1,0.399209083626183
5,0.077221330316127,0.091262917994434,0,1,0.825901564455735,0,10,12.9413637230047,0,4,2,0.421266643364458
6,0.0847822919507745,0.10194164295509,0,1,0.68880117395829,0,10,18.077117408069,0,4,3,0.527817594109131
