rank,component,meanScore,sdScore,fractionPositive,peakAbsTimeSec,signedTemporalWeightAtPeak,componentNorm
1,1,-1.451748160696,3.47325204379152,0.345771144278607,27.36,0.232195210226028,75.3969470066153
2,1,-4.19670338595706,9.68168784340698,0.296019900497512,12.24,0.302031939859632,211.347863109301
2,2,3.79067838741545,9.58670134938319,0.68407960199005,11.52,0.299927758123225,206.471008830948
