roiIndex,roiName,rank,component,spatialWeight,meanContributionAtComponentPeak
435,Parcel_435,1,1,0.120855900183868,-0.0407391908350291
126,Parcel_126,1,1,0.100378262772047,-0.0338364051447854
118,Parcel_118,1,1,0.0966035714128367,-0.0325639983248268
58,Parcel_058,1,1,0.0935802316040746,-0.0315448638246417
116,Parcel_116,1,1,0.0843984959379339,-0.0284498020119324
470,Parcel_470,1,1,0.0826808527165146,-0.0278708034286822
476,Parcel_476,1,1,0.0819891861419442,-0.0276376502559139
30,Parcel_030,1,1,0.0816738055357603,-0.0275313389324167
242,Parcel_242,1,1,0.0814983858074074,-0.0274722068769794
358,Parcel_358,1,1,0.0808666007437796,-0.027259239101019
117,Parcel_117,1,1,0.0794947749934198,-0.0267968117726776
124,Parcel_124,1,1,0.0788276576162147,-0.026571933863548
120,Parcel_120,1,1,0.0781842836969218,-0.0263550596121753
161,Parcel_161,1,1,0.0777562338982009,-0.0262107687466862
166,Parcel_166,1,1,0.076560331711814,-0.0258076433112121
126,Parcel_126,2,1,0.0969420220920148,-0.122877741845109
118,Parcel_118,2,1,0.0963220167231866,-0.122091861191813
435,Parcel_435,2,1,0.094704155148412,-0.120041159415265
117,Parcel_117,2,1,0.0841678383698446,-0.106685972622419
242,Parcel_242,2,1,0.0819786245254595,-0.103911059867259
124,Parcel_124,2,1,0.0802073950780105,-0.101665958412851
116,Parcel_116,2,1,0.0800538861879653,-0.101471379990049
358,Parcel_358,2,1,0.0793380139782941,-0.100563984428498
58,Parcel_058,2,1,0.0790101894228218,-0.100148454194771
394,Parcel_394,2,1,0.078481136743807,-0.0994778595742801
120,Parcel_120,2,1,0.0770212396372269,-0.0976273838372204
384,Parcel_384,2,1,0.0756640217351775,-0.0959070579414258
30,Parcel_030,2,1,0.073585712089192,-0.0932727205236318
150,Parcel_150,2,1,0.073575389987216,-0.0932596368623409
476,Parcel_476,2,1,0.0733205399693774,-0.0929366046620071
118,Parcel_118,2,2,0.0996524982446008,0.113297881994102
394,Parcel_394,2,2,0.099531628256627,0.113160461318501
435,Parcel_435,2,2,0.0933140717876052,0.106091536890838
126,Parcel_126,2,2,0.0844187224922992,0.095978150347511
116,Parcel_116,2,2,0.0817143055845769,0.0929034185237098
117,Parcel_117,2,2,0.0811773903856231,0.0922929837034748
242,Parcel_242,2,2,0.0801063775770152,0.091075317463879
384,Parcel_384,2,2,0.0783586243185594,0.0890882449276212
28,Parcel_028,2,2,0.077547136238673,0.0881656400523382
114,Parcel_114,2,2,0.0774266713242104,0.088028679916831
58,Parcel_058,2,2,0.0757244225146684,0.0860933427386832
124,Parcel_124,2,2,0.0753708557639358,0.0856913622092717
475,Parcel_475,2,2,0.0752960482738906,0.0856063113542634
120,Parcel_120,2,2,0.0751686593436841,0.0854614790998179
30,Parcel_030,2,2,0.0731512114987481,0.0831677827862164
