component_01,component_02,component_03,roiName
0.056217160259864,0.0575912590246678,0.0483087511764943,Parcel_001
0.0673722078375254,0.0691960511272381,0.0555815906811313,Parcel_002
0.0368775042554754,0.0387755497013276,0.0362184502332178,Parcel_003
0.029576586151241,0.0293187823683927,0.0333788159486405,Parcel_004
0.0563267505799795,0.0551830679542862,0.0428844565349459,Parcel_005
0.0637835834074945,0.0625704914313519,0.0532762181601197,Parcel_006
0.0460878346567401,0.0480152052293832,0.0423079106981468,Parcel_007
0.0527393287740599,0.0561486136637427,0.0511699896150054,Parcel_008
0.0457302933983125,0.0491887988042445,0.0392930151077571,Parcel_009
0.0519072053482003,0.0565921772956396,0.0440026986415736,Parcel_010
0.0331287280027635,0.0393824690389401,0.0368313726276125,Parcel_011
0.038628158789672,0.0443295988602684,0.0386525138445503,Parcel_012
0.0454898905981914,0.0516374990946447,0.0488729021773917,Parcel_013
0.059540714135896,0.0648925059796527,0.0525456929299756,Parcel_014
0.0418877739766116,0.0417459138928111,0.0389426388440453,Parcel_015
0.0371023987357317,0.036628334787352,0.0327609076938888,Parcel_016
0.041434148299358,0.0420518803829859,0.0402697693711924,Parcel_017
0.0419675734340516,0.0415438480079214,0.0402993697861487,Parcel_018
0.0485471474623029,0.047747208820146,0.0379501619863482,Parcel_019
0.0484583292053062,0.0477138813495824,0.0343877479599129,Parcel_020
0.0483221033703797,0.0464175023469129,0.045281940026192,Parcel_021
0.0540445034900301,0.0505327347322293,0.0426538536492053,Parcel_022
0.0430850862621849,0.0403076902618082,0.0398147609287474,Parcel_023
0.043749325868229,0.0412937299206497,0.0337664203545068,Parcel_024
0.0490934855873837,0.0511522687183806,0.0455075199186937,Parcel_025
0.048483939172737,0.0511127145259109,0.0384330347875334,Parcel_026
0.0537951323851696,0.0539508276143567,0.0553048477744953,Parcel_027
0.0723550423341111,0.0771981951094049,0.0801326844295411,Parcel_028
0.061474459340586,0.0605678853401175,0.0621515284178014,Parcel_029
0.0730092960163361,0.0728112807602935,0.0746346354668493,Parcel_030
0.0642488667545854,0.0691271507357013,0.0614962289182617,Parcel_031
0.0398862402591289,0.0416929904030993,0.0344563961500251,Parcel_032
0.0684723318357011,0.0707128689098561,0.0524505793321653,Parcel_033
0.0347431863809279,0.0366829475975603,0.0321755961776411,Parcel_034
0.0521913480599905,0.0603794683565263,0.0525955310343444,Parcel_035
0.0458878289378328,0.0486886449953108,0.0428521008785624,Parcel_036
0.0335600826217318,0.0385838402611779,0.0364793236904337,Parcel_037
0.0402512799929515,0.0403775234610975,0.0323945700699893,Parcel_038
0.0221335701698455,0.0271923948651891,0.0261292870796084,Parcel_039
0.0357884706461391,0.0431142132744912,0.0345501507533534,Parcel_040
0.0284483007085471,0.0376312930294096,0.0321591829804339,Parcel_041
0.0341251442545299,0.041235224017853,0.0328633991189487,Parcel_042
0.0314707382655153,0.0446261371303424,0.0394584982219528,Parcel_043
0.0415489526469332,0.0519269493439394,0.0510568004990057,Parcel_044
0.0348751117585093,0.0372746231372714,0.0417874109830176,Parcel_045
0.0341352226747234,0.0353650866286763,0.0306846722636712,Parcel_046
0.0591191611494029,0.0544960112429627,0.0561152798492533,Parcel_047
0.0540264916117661,0.0516345918980555,0.0481094627595229,Parcel_048
0.0376556348648296,0.0376347845321118,0.0383397627594937,Parcel_049
0.0411956021532941,0.0414133532553016,0.0386716311217144,Parcel_050
0.0503896733895507,0.0474619725689566,0.0498139020761269,Parcel_051
0.0696817660936945,0.0700351990203824,0.0586909348080706,Parcel_052
0.0471915389675847,0.0470618451484814,0.0514887059186032,Parcel_053
0.0560494571342031,0.0560285300230643,0.0467267732403442,Parcel_054
0.0397028613147251,0.0394002140097719,0.0368917312279907,Parcel_055
0.0492258200642472,0.0480879618250796,0.0404107895821303,Parcel_056
0.0499051214683473,0.0487941764314916,0.0423237557558877,Parcel_057
0.0791392669075685,0.0769417933638848,0.0612683281699832,Parcel_058
0.0402208523118606,0.0381398737682986,0.0458937561992859,Parcel_059
0.0563796082199915,0.0555093003171068,0.0645041455967991,Parcel_060
0.0641325685205796,0.0642264921014821,0.0664068401173282,Parcel_061
0.060817678117305,0.0613361319385733,0.0621527200171592,Parcel_062
0.0568876054002401,0.0561736491533003,0.0503161381567418,Parcel_063
0.0625777265634192,0.0677585599397233,0.0671942854978991,Parcel_064
0.0406816614155772,0.0424922719396501,0.0463844718971472,Parcel_065
0.0486151121453344,0.0519588957386634,0.0622318821392084,Parcel_066
0.0524604969613533,0.0545308253279798,0.0554494788675281,Parcel_067
0.0518317323230754,0.0566340421297208,0.0598987254739727,Parcel_068
