component_01,component_02,component_03,timeSec
0.0934741735186263,0.0850874469500958,0.32800482516365,0
0.105596437899284,0.0897769197381447,0.375612424800468,0.72
0.0863771494241587,0.0620830941909285,0.344152320032352,1.44
0.034815394670964,0.00223558049333877,0.248298504177287,2.16
-0.0377806693849541,-0.0779184367443056,0.119737193973684,2.88
-0.113084533762861,-0.158876050906733,-0.0142125001850968,3.6
-0.173607932480322,-0.220277916716115,-0.133699342631626,4.32
-0.210325395958852,-0.249865573224169,-0.221172234211286,5.04
-0.223390357512061,-0.246675941605317,-0.261674109355953,5.76
-0.214614419966087,-0.214386904969234,-0.250665910375169,6.48
-0.182070748030487,-0.154784055551174,-0.199314330530268,7.2
-0.124220297265173,-0.0707755041993887,-0.128505672414854,7.92
-0.0461395128819365,0.0274681168949474,-0.0577031217988523,8.64
0.0418879515297329,0.124340121062702,-0.000649871345472404,9.36
0.130207563622675,0.206649901267205,0.0331450037898708,10.08
0.210513194594325,0.266749602627371,0.0393122712395941,10.8
0.271610061231431,0.298523558758725,0.0206414587763851,11.52
0.299426317613592,0.294793170055695,-0.0145467636275332,12.24
0.284598579461755,0.251723311856064,-0.0555762485778942,12.96
0.22949785646684,0.17475820604136,-0.0908530188381434,13.68
0.146479071182362,0.0779567098023498,-0.108574214090063,14.4
0.0503157759486029,-0.0225846105061199,-0.0997250833899278,15.12
-0.0464261574277661,-0.113681316182486,-0.0634603779835047,15.84
-0.13286543788098,-0.185080160337383,-0.0091145681228354,16.56
-0.198571646605425,-0.22813156276621,0.0494626299374831,17.28
-0.234784672180798,-0.236863237869376,0.101524892739283,18
-0.237712252681903,-0.211406789735795,0.140561961047947,18.72
-0.211377746436866,-0.160351264388864,0.160387462952553,19.44
-0.166297596864702,-0.0978484772764275,0.153770737487078,20.16
-0.113574109973682,-0.0364831134283317,0.11569316838785,20.88
-0.0601316560047866,0.0169455376027156,0.0480748017419798,21.6
-0.00952379909664615,0.0592468224339505,-0.0370547082943354,22.32
0.0353079507181524,0.0878726221138681,-0.118880520401721,23.04
0.0719468029568267,0.10191064917697,-0.174699574926594,23.76
0.0992192942486366,0.103417710365598,-0.188351491492658,24.48
0.116649750139048,0.0959766359463339,-0.155219697753077,25.2
0.124731114816598,0.0834302406451315,-0.083373325985563,25.92
0.125313845923167,0.0695897929386963,0.00782493893662935,26.64
0.11909345611857,0.0565048539560185,0.0915595938648877,27.36
0.103796469703625,0.0434430935136103,0.140921328634802,28.08
0.0785155866735379,0.0296096475826594,0.141886589243386,28.8
