component_01,timeSec
0.130594126111381,0
0.163666665249889,0.72
0.168782458594918,1.44
0.146042084976848,2.16
0.106203686050045,2.88
0.0602494761830946,3.6
0.0126577852685477,4.32
-0.0374011422366155,5.04
-0.0902737456695192,5.76
-0.141910571937705,6.48
-0.184986713833195,7.2
-0.21192042482172,7.92
-0.215767313542325,8.64
-0.19006144868398,9.36
-0.131515738694261,10.08
-0.0456005060643597,10.8
0.0509637037313554,11.52
0.136129412278715,12.24
0.193429060396275,12.96
0.217974050088882,13.68
0.213224358779631,14.4
0.184615794856124,15.12
0.136738511895398,15.84
0.0739379012059117,16.56
0.00174281120268456,17.28
-0.0719754479237589,18
-0.137359744472531,18.72
-0.185720310949127,19.44
-0.213420807850965,20.16
-0.221985362800611,20.88
-0.213866710127229,21.6
-0.188888410862724,22.32
-0.145283336035343,23.04
-0.083592266731068,23.76
-0.00916686379537245,24.48
0.0688833348944901,25.2
0.140937238335773,25.92
0.198547668929878,26.64
0.232263576873747,27.36
0.230905419909714,28.08
0.190720859689248,28.8
