component_01,component_02,roiName
0.0552326506880864,0.0567258603661985,Parcel_001
0.0664389306797847,0.0684310706123467,Parcel_002
0.0365100078036593,0.0390385088855724,Parcel_003
0.0292365568191371,0.0291347673055839,Parcel_004
0.0558054298909432,0.0541567773364221,Parcel_005
0.0628125722414452,0.0610488850403839,Parcel_006
0.0457975774758049,0.0479610911465874,Parcel_007
0.0526328067330489,0.056287389720749,Parcel_008
0.045205887264934,0.0494506080637279,Parcel_009
0.0511102072120365,0.0564641716806026,Parcel_010
0.0326658998827641,0.0401118171582384,Parcel_011
0.0383897234872438,0.0451448310268016,Parcel_012
0.0443056938449215,0.0513769792458347,Parcel_013
0.0601807755764774,0.0670695514231422,Parcel_014
0.0422050271399864,0.0419973383797086,Parcel_015
0.0369870596858123,0.0364947493228711,Parcel_016
0.0414562921945998,0.0420701680653572,Parcel_017
0.0418645994899374,0.0413710166668586,Parcel_018
0.0481457808051237,0.0470700464892469,Parcel_019
0.0475837443515577,0.04665572238257,Parcel_020
0.0488124971608121,0.0469106072221785,Parcel_021
0.0541295534453824,0.0501451543774839,Parcel_022
0.0438729479764506,0.0406499523164055,Parcel_023
0.0444328055204408,0.041757311313238,Parcel_024
0.0485226150163008,0.0510042850490177,Parcel_025
0.0488389694395324,0.0515003011471859,Parcel_026
0.0522683627892067,0.0524202331726918,Parcel_027
0.0717663155943662,0.077547136238673,Parcel_028
0.0619990044036393,0.0605726182812506,Parcel_029
0.073585712089192,0.0731512114987481,Parcel_030
0.062795513271944,0.068048749350072,Parcel_031
0.0402883155355161,0.0426672882008105,Parcel_032
0.0672536665131967,0.069447747895714,Parcel_033
0.03422482522429,0.0361631638400564,Parcel_034
0.0516505776066584,0.0611916201629344,Parcel_035
0.045005016399406,0.0486371649341497,Parcel_036
0.0327118410392953,0.0381863568482114,Parcel_037
0.0390173237505724,0.0390105617980629,Parcel_038
0.0221791445347166,0.0280426225498131,Parcel_039
0.0350629530875223,0.0436792681755336,Parcel_040
0.0283395763392067,0.0385611101593656,Parcel_041
0.0320337329090931,0.0406378813874919,Parcel_042
