component_01,component_02,timeSec
0.0765931653061437,0.0353863430207397,0
0.0851696102856775,0.0313072380122418,0.72
0.0661306759608262,0.00621102438524556,1.44
0.0184612507545972,-0.0411083821481763,2.16
-0.0475485448599035,-0.102928057934264,2.88
-0.114916057980874,-0.163621233514215,3.6
-0.167611646550363,-0.205898048748753,4.32
-0.19813489314215,-0.2204135882992,5.04
-0.207972170425433,-0.208871072016805,5.76
-0.199523059034152,-0.176044418117752,6.48
-0.170297133195106,-0.122247969160314,7.2
-0.117342179523279,-0.0472705277767913,7.92
-0.0442132648181766,0.0415959528986356,8.64
0.0400491594779581,0.130655981714439,9.36
0.126691161564317,0.208009322628149,10.08
0.207671107106895,0.26661601416578,10.8
0.271176051462345,0.299927758123225,11.52
0.302031939859632,0.299571273308656,12.24
0.289985289240255,0.260389271582421,12.96
0.236954116191687,0.18661139887356,13.68
0.155013868438671,0.0910715734489069,14.4
0.058643866851098,-0.011212768883627,15.12
-0.0397619244356091,-0.1073224174705,15.84
-0.129204441170246,-0.186025697025354,16.56
-0.198908443242458,-0.237006689861547,17.28
-0.239625959609422,-0.252853226604728,18
-0.246818441673435,-0.232633865329716,18.72
-0.22350219539367,-0.183845871929845,19.44
-0.179312333689309,-0.119537150761094,20.16
-0.124998900546444,-0.0517130758613762,20.88
-0.0677454623921806,0.0123030649026833,21.6
-0.0118956320489347,0.0673690281714834,22.32
0.0384440052899481,0.107860419721921,23.04
0.0796074118187304,0.129680096887382,23.76
0.1093915663326,0.132652449770249,24.48
0.126754382540783,0.119661259056772,25.2
0.132330754527159,0.0956568743415693,25.92
0.128905873669391,0.0673729981290302,26.64
0.118599909682627,0.0410767150335745,27.36
0.100490601490827,0.0203197297603737,28.08
0.0743645747652594,0.0065272479021999,28.8
