component_01,subjectID
-2.40545011292828,row_001
-1.3112196448013,row_002
-1.26947290585393,row_003
-0.610375173545407,row_004
0.126936393194215,row_005
-1.61083794292952,row_006
7.21222106337383,row_007
3.13608838224334,row_008
-0.756749778069624,row_009
0.764921214146456,row_010
-5.19915969999178,row_011
1.03961327196227,row_012
-6.89910265302056,row_013
-1.42489256878058,row_014
1.44073471491919,row_015
-1.64376308359925,row_016
-2.18236787294201,row_017
1.51543406376176,row_018
-5.32821681153911,row_019
-17.4806523979367,row_020
-1.40328427749167,row_021
0.531227540099429,row_022
2.29066813674577,row_023
-5.71276182855848,row_024
-6.28478018194872,row_025
-1.4902339073918,row_026
-0.237271850902234,row_027
-4.34948758489183,row_028
-3.39313940292742,row_029
-5.85204939854666,row_030
1.08469725556912,row_031
-7.69626246980948,row_032
-2.25237874294793,row_033
-6.06064902012448,row_034
-2.92505336198512,row_035
-2.60809167018885,row_036
1.0423774123345,row_037
-1.75083500846744,row_038
1.35793278071497,row_039
-0.945200394952572,row_040
0.587518104613826,row_041
-5.30860413067422,row_042
-0.388393129749662,row_043
-0.419828854350152,row_044
-1.93642416082911,row_045
1.53022484842513,row_046
-5.26314501231164,row_047
2.94631446677363,row_048
-0.653254254076171,row_049
0.00106083878310873,row_050
-6.20314542407092,row_051
0.338168647065123,row_052
-1.9247197493128,row_053
-2.66039441712113,row_054
2.12042438289875,row_055
12.1594848790048,row_056
-17.3917828750967,row_057
-1.09320501097088,row_058
-7.20574872303693,row_059
-1.23688555637984,row_060
-3.12105765554118,row_061
-4.66088998970931,row_062
-3.65778017598174,row_063
1.08502482816231,row_064
3.39775646560169,row_065
3.25107494320384,row_066
-2.66369411277908,row_067
-7.13317790083367,row_068
4.81095773753753,row_069
-3.0314390560036,row_070
2.42747521312888,row_071
2.03714409803341,row_072
-0.771999004760416,row_073
0.626020567413269,row_074
1.59720068869944,row_075
-1.82744095641668,row_076
-7.1448743618932,row_077
-1.64283308164239,row_078
-2.89803941793239,row_079
-8.26432810440033,row_080
-1.68088353986215,row_081
-0.012539806651297,row_082
-2.16215735833444,row_083
0.969880875916138,row_084
-3.42632942575625,row_085
0.612059446676667,row_086
1.10809312506889,row_087
1.18448391930696,row_088
-2.13005142756944,row_089
-0.294295791096827,row_090
-3.8155777831583,row_091
-4.17762736017625,row_092
2.76911372012984,row_093
1.28455554833766,row_094
0.0303459516658812,row_095
0.480371934245964,row_096
-0.723980410321966,row_097
2.9579024662093,row_098
-1.15419497330891,row_099
-2.59178578992774,row_100
-4.03904133465846,row_101
-2.52469242091184,row_102
2.12954285776006,row_104
-2.782777841365,row_105
0.836416532084868,row_106
-2.47198228065778,row_107
-4.76047068445263,row_108
2.74348696173303,row_109
-3.28862691060713,row_110
-0.000965171946390875,row_111
-4.4027793125376,row_112
0.769658652037884,row_113
1.58053988425105,row_114
-3.7769819989022,row_115
-5.21192156394485,row_116
-3.37141353104401,row_117
-0.235250062149734,row_118
-4.38889707026797,row_119
-3.46737549044753,row_120
-1.32876818035407,row_121
-1.08058727525876,row_122
4.31776097993743,row_123
-4.31983873072053,row_124
2.16614460667631,row_125
6.14499718583978,row_126
-7.48224926460488,row_127
-2.53307543791628,row_128
-9.17564895574602,row_129
8.13863842305401,row_130
-5.60859823965087,row_131
-3.90895838380155,row_132
-2.36290849899048,row_133
5.77092858222316,row_134
-4.0506415887677,row_135
-2.23910807128238,row_136
-1.24048495209568,row_137
-1.27707517630807,row_138
-1.06418872855605,row_139
-4.00840108545712,row_140
-1.57459009614125,row_141
-1.94276360638007,row_142
0.287233028969185,row_143
-6.87798677306823,row_144
-5.37817234715124,row_145
-0.946535138702695,row_146
-4.08204106958237,row_147
2.04950383811367,row_148
1.07588291881851,row_149
-6.02294839965843,row_150
3.98414224366135,row_151
-1.68328859263676,row_152
3.68643763593625,row_153
0.104553177457819,row_154
-2.87961103253469,row_155
3.24953755173444,row_156
4.41853670409637,row_157
1.23090015744522,row_158
1.79048925385351,row_159
0.18459485752711,row_160
0.979031989762265,row_161
-4.23570814694211,row_162
2.85449673476538,row_163
-5.4712914395107,row_164
0.316625785295905,row_165
-0.915002312779745,row_166
2.58948101155207,row_167
-1.66517600071943,row_168
-5.39473621317551,row_169
-8.15607833308762,row_170
3.05596419853961,row_172
-0.565497317337467,row_173
-5.52170500379373,row_174
-5.04340212447292,row_175
0.491964157936055,row_176
-2.05615319845811,row_177
0.398472199748472,row_178
0.0792518691824781,row_179
-1.78067364324019,row_180
-2.24212581306506,row_181
2.19556159511848,row_182
-3.24789861992185,row_183
-0.770888320466783,row_184
-2.51223353758519,row_185
0.0384769880204625,row_186
-0.24998665138246,row_187
1.52644387665284,row_188
4.39970003379114,row_189
-2.85503748189991,row_190
-7.24079485220449,row_191
-3.36987739828832,row_192
-3.78170091223594,row_193
-1.26271404817248,row_194
-5.75382113809915,row_195
-3.73201180960262,row_196
-2.53276241967527,row_197
-1.0575656551312,row_198
-4.68808854535741,row_199
-0.73189552200396,row_201
-0.213595038325692,row_202
2.64884215748941,row_203
-3.00354148608308,row_204
-1.61945985058275,row_205
-2.35228817825533,row_206
0.913607786842896,row_207
-4.79990260860445,row_208
-8.34428742008041,row_209
-4.31192290573797,row_210
-2.72967715757206,row_211
-4.10892774553756,row_212
-0.447413858435325,row_213
-2.1864629598848,row_214
-0.485537657422547,row_215
-1.95580552955955,row_216
-3.4563205288151,row_217
-5.77471019295375,row_218
0.393103162567866,row_219
-4.01193466741498,row_220
-2.48160246263321,row_221
0.117599818856519,row_222
1.73563634887638,row_223
-1.24404062764272,row_224
0.497075336403288,row_225
-7.89932190806344,row_226
-4.20252429637355,row_227
4.71062038317826,row_228
6.5964536441656,row_229
-5.03579809018163,row_230
0.498579233094412,row_231
-2.67852844543191,row_232
3.52447990169041,row_233
-0.707774545488713,row_234
-4.22929744758537,row_235
0.865469563028349,row_236
-3.54729056706484,row_237
-0.106353515549858,row_238
2.69901063746866,row_239
-1.37324468752637,row_240
0.411659904796542,row_241
2.92758989582036,row_242
2.95681774488489,row_244
0.986591317613848,row_245
-1.87436803700453,row_246
-0.95789209558408,row_247
1.07766883578401,row_248
0.243087235890135,row_249
-4.08097113810175,row_250
-7.51892324704438,row_251
-0.620361542656818,row_252
-0.0768950382780043,row_253
-2.05262119266713,row_254
-10.4542975036076,row_255
-8.72676877349591,row_256
-7.97751333464891,row_257
-1.26612061132001,row_258
-0.797919213780716,row_259
-3.51728077530764,row_260
-6.22866769160832,row_261
-3.41841896192394,row_262
-4.56572040766914,row_264
-5.29180889648485,row_265
-4.95022007720416,row_266
-1.33615892321275,row_267
5.79445126760509,row_268
-3.05289858829474,row_269
-2.29334353075037,row_270
-4.81765958114217,row_271
0.637674462236389,row_272
0.376283493388876,row_273
-2.4192582182893,row_274
0.581720984746198,row_275
-7.30799017025105,row_276
-6.817672897031,row_277
6.00529664622103,row_278
-4.54862220728767,row_279
-4.28573788090412,row_280
-0.310059337917623,row_281
-3.22939956081873,row_282
-0.196766550357557,row_283
-3.98130417605835,row_284
1.71310437420044,row_285
-0.339338267368814,row_286
0.253780408497444,row_287
-3.36724579397593,row_288
-6.98192737096438,row_289
-0.453997729394735,row_290
2.00840034302743,row_291
3.26385518053241,row_292
-2.29498203528356,row_293
1.63061841306113,row_294
-5.71300366097873,row_295
1.20257007571831,row_296
1.08664876781872,row_297
0.771526191714044,row_298
0.87879068312924,row_299
-1.67315379230742,row_300
4.9822960924667,row_301
-2.73124703414981,row_302
-1.00871564897824,row_303
-3.84689169952079,row_304
-8.39307694313069,row_305
0.888293227167078,row_306
-1.34531164459091,row_307
-3.04148302542663,row_308
-1.76575130753439,row_309
-6.89241804184549,row_310
-0.69094273151637,row_311
2.31990239794373,row_312
-1.85199839982269,row_313
-2.72852273078084,row_314
-1.43888233093058,row_315
2.99443267502623,row_316
-1.60708879915755,row_317
-1.02281484339428,row_318
3.61447682551588,row_319
-3.06877874478534,row_320
