component_01,roiName
0.0530300483518124,Parcel_001
0.066225281671826,Parcel_002
0.0313341899203154,Parcel_003
0.027592708088062,Parcel_004
0.0544362905566161,Parcel_005
0.0632627270850061,Parcel_006
0.0427202500119029,Parcel_007
0.0507955735902,Parcel_008
0.0421615849362083,Parcel_009
0.0473080845229774,Parcel_010
0.0287592674578007,Parcel_011
0.033739921096726,Parcel_012
0.0339982918449068,Parcel_013
0.0539072855153825,Parcel_014
0.0423868366479631,Parcel_015
0.0366373655820633,Parcel_016
0.0421547447603564,Parcel_017
0.0407295879635678,Parcel_018
0.0477665705390325,Parcel_019
0.0452160600684081,Parcel_020
0.0511169279974865,Parcel_021
0.0572145866963866,Parcel_022
0.0466702103609678,Parcel_023
0.046045176764332,Parcel_024
0.0453095384115898,Parcel_025
0.0486836015196729,Parcel_026
0.0470120301448135,Parcel_027
0.0724352682587718,Parcel_028
0.0649047906638743,Parcel_029
0.0817811137453844,Parcel_030
0.0573117699038395,Parcel_031
0.0403330247767016,Parcel_032
0.0699351983762897,Parcel_033
0.0358778464577727,Parcel_034
0.0523630133985021,Parcel_035
0.039121421149165,Parcel_036
0.0248515334631165,Parcel_037
0.0348779888308841,Parcel_038
0.0203959264721742,Parcel_039
0.0264412617206886,Parcel_040
0.0261410152876758,Parcel_041
0.0275126885948078,Parcel_042
0.0316098977049864,Parcel_043
0.0373113184983721,Parcel_044
0.02961381197716,Parcel_045
0.0318107606922468,Parcel_046
0.0574459476650797,Parcel_047
0.0508947625927836,Parcel_048
0.0372378624537613,Parcel_049
0.0378540388014114,Parcel_050
0.0531679558661366,Parcel_051
0.0709335588454447,Parcel_052
0.0473120149087276,Parcel_053
0.0590056022853056,Parcel_054
0.0397949128628585,Parcel_055
0.0468514324408745,Parcel_056
0.0558263179001352,Parcel_057
0.0935129987754074,Parcel_058
0.0435376510040357,Parcel_059
0.0604757887348145,Parcel_060
0.0606242983362576,Parcel_061
0.0564581680222623,Parcel_062
0.0547307675825172,Parcel_063
0.0623731751868091,Parcel_064
0.037860391362304,Parcel_065
0.0481415611942324,Parcel_066
0.0531617130114631,Parcel_067
0.0544599517328587,Parcel_068
0.0510693815443466,Parcel_069
0.0556424693032631,Parcel_070
0.027216183780799,Parcel_071
0.0347076130971804,Parcel_072
0.0189907412365808,Parcel_073
0.0409245536246778,Parcel_074
0.0498829527562396,Parcel_075
0.0532941316269726,Parcel_076
0.0231538008246999,Parcel_077
0.0236650607151278,Parcel_078
0.0278125016746006,Parcel_079
0.0449327987204491,Parcel_080
0.045572364982443,Parcel_081
0.043625618945951,Parcel_082
0.0292531468239779,Parcel_083
0.020984382040471,Parcel_084
0.0441119980627694,Parcel_085
0.0701053932608205,Parcel_086
0.0570936355498471,Parcel_087
0.0437742350661347,Parcel_088
0.0510828424782133,Parcel_089
0.0580587293620552,Parcel_090
0.066866691931482,Parcel_091
0.0721766445744413,Parcel_092
0.0481257711073781,Parcel_093
0.0338611567997918,Parcel_094
0.0489621601953158,Parcel_095
0.0248252281603933,Parcel_096
0.0455574046164901,Parcel_097
0.0328585425058208,Parcel_098
0.0496832951440693,Parcel_099
0.0407237539683905,Parcel_100
0.0286803150620791,Parcel_101
0.0331286114435104,Parcel_102
0.036954703917784,Parcel_103
0.0250826655201401,Parcel_104
0.0470879522881801,Parcel_105
0.0331363207851942,Parcel_106
0.0401103350445345,Parcel_107
0.0370694220603379,Parcel_108
0.0326638583044633,Parcel_109
0.0299727454935129,Parcel_110
0.0272856321664898,Parcel_111
0.0494689103039574,Parcel_112
0.0451308638252588,Parcel_113
0.0672447697933529,Parcel_114
0.0289669266130833,Parcel_115
0.0844557408688896,Parcel_116
0.0795182638982944,Parcel_117
0.0966487025465091,Parcel_118
0.0503490792957361,Parcel_119
0.0782646023487029,Parcel_120
0.0270121102011473,Parcel_121
0.037799881964611,Parcel_122
0.0484153308177093,Parcel_123
0.078640228854615,Parcel_124
0.0516914287275519,Parcel_125
0.0998509880082545,Parcel_126
0.0261816443613193,Parcel_127
0.0505863618233931,Parcel_128
0.0375331841591976,Parcel_129
0.0451862535672522,Parcel_130
0.0375063382701703,Parcel_131
0.0464406824600699,Parcel_132
0.0557550993255504,Parcel_133
0.0685256148166591,Parcel_134
0.0491984293639559,Parcel_135
0.0454757315306983,Parcel_136
0.0424820417382334,Parcel_137
0.0604020548555458,Parcel_138
0.0424114052793346,Parcel_139
0.0555850599703618,Parcel_140
0.0460604280233973,Parcel_141
0.0538711188255126,Parcel_142
0.0374722547783524,Parcel_143
0.0471671524397998,Parcel_144
0.0672162016053143,Parcel_145
0.0524562088615273,Parcel_146
0.0536692692878674,Parcel_147
0.0608574137852988,Parcel_148
0.0466148983159042,Parcel_149
0.0713668725085414,Parcel_150
0.038969878080478,Parcel_151
0.0462224924661739,Parcel_152
0.0366929470783262,Parcel_153
0.0550464563056023,Parcel_154
0.0493488640249492,Parcel_155
0.0645444385610525,Parcel_156
0.0745213536137269,Parcel_157
0.0551313636617765,Parcel_158
0.0622234309462239,Parcel_159
0.0627551014921117,Parcel_160
0.0776983799683507,Parcel_161
0.0688835096008003,Parcel_162
0.0569403567596741,Parcel_163
0.0463744303654102,Parcel_164
0.0754213665711961,Parcel_165
0.0763504320558082,Parcel_166
0.0615754990573503,Parcel_167
0.068519914230795,Parcel_168
0.0607011000868653,Parcel_169
0.0639703194143186,Parcel_170
0.0570261257620004,Parcel_171
0.0569554195167276,Parcel_172
0.0597464092147768,Parcel_173
0.0500098073602674,Parcel_174
0.0176018867694881,Parcel_175
0.0263290682416249,Parcel_176
0.0302213042050206,Parcel_177
0.0578277721051951,Parcel_178
0.0192866559548035,Parcel_179
0.0207259226655581,Parcel_180
0.0316253540746816,Parcel_181
0.0336759205265149,Parcel_182
0.0227841336471496,Parcel_183
0.0208010161515266,Parcel_184
0.00958615179457862,Parcel_185
0.00337442548106787,Parcel_186
0.0365784701326122,Parcel_187
0.0515111242834556,Parcel_188
0.0617028975391431,Parcel_189
0.0226767641415251,Parcel_190
0.0458179998973923,Parcel_191
0.0392317343667396,Parcel_192
0.047663086253312,Parcel_193
0.0624161120963325,Parcel_194
0.0687129082934403,Parcel_195
0.0558816616662817,Parcel_196
0.0491431711436938,Parcel_197
0.0468894618037514,Parcel_198
0.0399797124587874,Parcel_199
0.0489055177159855,Parcel_200
0.0372470534152676,Parcel_201
0.04529045057037,Parcel_202
0.0308735720772857,Parcel_203
0.0321062918970708,Parcel_204
0.0505076383739476,Parcel_205
0.0558704393835531,Parcel_206
0.0425877535240359,Parcel_207
0.0452529964500268,Parcel_208
