component_01,component_02,component_03,component_04,component_05,component_06,timeSec
-0.0449047293881975,0.108633439988875,0.118790782466343,-0.23033830442658,0.106437429185794,-0.167214746998522,0
-0.0876602287967535,0.140097971791535,0.151213186884093,-0.248048076854208,0.0966830222493229,-0.202806692466261,0.72
-0.143413440991976,0.149411754659772,0.160296993934182,-0.195442385971415,0.0370014870545773,-0.209001886779702,1.44
-0.192782348455813,0.128540382437065,0.137351308186022,-0.0911616250604253,-0.0574280098591376,-0.194635227610343,2.16
-0.211181200493013,0.0768780333471004,0.0800811645837176,0.0277526460976792,-0.153598850578653,-0.173967601943012,2.88
-0.185135488909893,0.00202473374055829,-0.00387547599728985,0.131779734163583,-0.221175194293456,-0.153621687280482,3.6
-0.118099249656442,-0.0825601223046837,-0.0975803319131499,0.205649555203609,-0.243725520533682,-0.132659959753641,4.32
-0.0237105590342608,-0.163294881366366,-0.182509103325825,0.241354356294603,-0.21922990923572,-0.111109273920049,5.04
0.0807264696827001,-0.22916557177095,-0.244683027605312,0.234562752601066,-0.157239723833674,-0.0922765892861147,5.76
0.175374298328366,-0.269337230553749,-0.273757121633997,0.188649358765412,-0.0741621322435236,-0.0752022749476688,6.48
0.241051815386647,-0.273445438066616,-0.262318732858224,0.116890857196122,0.0137934442621302,-0.0512107491390331,7.2
0.266311769223079,-0.237532590477432,-0.210256763170634,0.0371798187832697,0.0950042325432151,-0.0125205864593118,7.92
0.249851109584304,-0.16720553997345,-0.127093307858676,-0.0342762265541773,0.160234542376204,0.0400716524082992,8.64
0.195832522177228,-0.0731060571879295,-0.0270107356941698,-0.0842409169743256,0.1994236006924,0.101579488897602,9.36
0.110738044018142,0.034095494875356,0.0771643711695974,-0.102839325257178,0.204727187933846,0.169511886769542,10.08
0.00727015198414913,0.141990384862096,0.173280388444618,-0.0880693958236347,0.177248847102227,0.240826645129039,10.8
-0.0917186958645033,0.232805579207447,0.2455569468472,-0.0505815151536099,0.129051818708811,0.30458125050443,11.52
-0.159257187722912,0.287087912022023,0.276408906248044,-0.0111400431168241,0.0772768011596235,0.342619470382276,12.24
-0.177592820951197,0.293505107417287,0.255810279944146,0.00990804665317357,0.0355019144698105,0.339893989934537,12.96
-0.145527823959747,0.254317287315412,0.188208799345242,0.00248111296549244,0.00977456199468804,0.294223001160026,13.68
-0.0739314644467113,0.181203168402968,0.0894745261810796,-0.0318201863857557,0.000468404807275185,0.215834874675536,14.4
0.0215551882521146,0.0876465989277484,-0.0213259869457445,-0.0830182070669573,0.00407605644690418,0.119542008671275,15.12
0.121570831656174,-0.0136887396682647,-0.126202083023693,-0.134038200286796,0.0120194430431736,0.0199999717672538,15.84
0.201723179207937,-0.108795343284185,-0.207549000190653,-0.162961028571309,0.0111484822537088,-0.0677559356522397,16.56
0.237309317781438,-0.181971570081801,-0.248723565115336,-0.150925259273508,-0.0108367554238134,-0.128865040167446,17.28
0.214136176032201,-0.220334935339494,-0.239536159198299,-0.0917520641508316,-0.058392935255485,-0.152645871608667,18
0.137475208037024,-0.219455143146958,-0.183112113989845,0.00315698365274121,-0.124304045443166,-0.136788885155806,18.72
0.03061341250146,-0.185028826955384,-0.0968664176870043,0.108264637939025,-0.191715047088686,-0.0894470924849234,19.44
-0.0777226764961623,-0.129340056648333,-0.00445236069722308,0.195879003226168,-0.241469126028751,-0.0277431289953639,20.16
-0.166410864813877,-0.0654701648499483,0.0750558643792386,0.248869746071055,-0.259525826571326,0.0287811471841442,20.88
-0.224263869082291,-0.0037212003046888,0.131208559010476,0.262739892988911,-0.239322930631228,0.0659503873929133,21.6
-0.244637976638356,0.0483164034393122,0.158984086241092,0.238149225396779,-0.180729140229289,0.0774379157294032,22.32
-0.224184111286507,0.0851663866001993,0.156765577592593,0.177195204709397,-0.0905028218345322,0.063066323708084,23.04
-0.167579810959443,0.104433560309501,0.128695023626396,0.0880111470450198,0.0163928074171032,0.0281499849911987,23.76
-0.0887842888536919,0.10714976812189,0.0851328710418671,-0.0128619992987435,0.119662789062401,-0.0176491564176915,24.48
-0.00543794540573783,0.0966978186051747,0.0383899423817818,-0.106860426280777,0.201128513355423,-0.0645730233742541,25.2
0.0665299566793822,0.0785061068746331,-0.00106315602129295,-0.18052530930181,0.250533986847497,-0.105706213169096,25.92
0.11484822053381,0.0593768866315655,-0.0259925528009958,-0.225839818454166,0.26542434276018,-0.135658942898263,26.64
0.133260558634064,0.0438756447919181,-0.0344980533028905,-0.237692559182676,0.248092623492357,-0.148820598473797,27.36
0.123759296219442,0.0317325170667549,-0.0309708546080771,-0.21471667284428,0.204406469086721,-0.140596329886533,28.08
0.0952374805355183,0.0208781268687502,-0.0223373970308521,-0.163872064625173,0.145205687261237,-0.111827258431136,28.8
