sourceRow,retained,nonfiniteSource,invalidFlag,allZeroSourceCondition,ambiguousZeroWithoutFlags,subjectID
197,1,0,0,0,0,row_197
198,1,0,0,0,0,row_198
199,1,0,0,0,0,row_199
200,0,1,0,0,0,row_200
201,1,0,0,0,0,row_201
202,1,0,0,0,0,row_202
203,1,0,0,0,0,row_203
204,1,0,0,0,0,row_204
205,1,0,0,0,0,row_205
206,1,0,0,0,0,row_206
207,1,0,0,0,0,row_207
208,1,0,0,0,0,row_208
209,1,0,0,0,0,row_209
210,1,0,0,0,0,row_210
211,1,0,0,0,0,row_211
212,1,0,0,0,0,row_212
213,1,0,0,0,0,row_213
214,1,0,0,0,0,row_214
215,1,0,0,0,0,row_215
216,1,0,0,0,0,row_216
217,1,0,0,0,0,row_217
218,1,0,0,0,0,row_218
219,1,0,0,0,0,row_219
220,1,0,0,0,0,row_220
221,1,0,0,0,0,row_221
222,1,0,0,0,0,row_222
223,1,0,0,0,0,row_223
224,1,0,0,0,0,row_224
225,1,0,0,0,0,row_225
226,1,0,0,0,0,row_226
227,1,0,0,0,0,row_227
228,1,0,0,0,0,row_228
229,1,0,0,0,0,row_229
230,1,0,0,0,0,row_230
231,1,0,0,0,0,row_231
232,1,0,0,0,0,row_232
233,1,0,0,0,0,row_233
234,1,0,0,0,0,row_234
235,1,0,0,0,0,row_235
236,1,0,0,0,0,row_236
237,1,0,0,0,0,row_237
238,1,0,0,0,0,row_238
239,1,0,0,0,0,row_239
240,1,0,0,0,0,row_240
241,1,0,0,0,0,row_241
242,1,0,0,0,0,row_242
243,0,1,0,0,0,row_243
244,1,0,0,0,0,row_244
245,1,0,0,0,0,row_245
246,1,0,0,0,0,row_246
247,1,0,0,0,0,row_247
248,1,0,0,0,0,row_248
249,1,0,0,0,0,row_249
250,1,0,0,0,0,row_250
251,1,0,0,0,0,row_251
252,1,0,0,0,0,row_252
253,1,0,0,0,0,row_253
254,1,0,0,0,0,row_254
255,1,0,0,0,0,row_255
256,1,0,0,0,0,row_256
257,1,0,0,0,0,row_257
258,1,0,0,0,0,row_258
259,1,0,0,0,0,row_259
260,1,0,0,0,0,row_260
261,1,0,0,0,0,row_261
262,1,0,0,0,0,row_262
263,0,1,0,0,0,row_263
264,1,0,0,0,0,row_264
265,1,0,0,0,0,row_265
266,1,0,0,0,0,row_266
267,1,0,0,0,0,row_267
268,1,0,0,0,0,row_268
269,1,0,0,0,0,row_269
270,1,0,0,0,0,row_270
271,1,0,0,0,0,row_271
272,1,0,0,0,0,row_272
273,1,0,0,0,0,row_273
274,1,0,0,0,0,row_274
275,1,0,0,0,0,row_275
276,1,0,0,0,0,row_276
277,1,0,0,0,0,row_277
278,1,0,0,0,0,row_278
279,1,0,0,0,0,row_279
280,1,0,0,0,0,row_280
281,1,0,0,0,0,row_281
282,1,0,0,0,0,row_282
283,1,0,0,0,0,row_283
284,1,0,0,0,0,row_284
285,1,0,0,0,0,row_285
286,1,0,0,0,0,row_286
287,1,0,0,0,0,row_287
288,1,0,0,0,0,row_288
289,1,0,0,0,0,row_289
290,1,0,0,0,0,row_290
291,1,0,0,0,0,row_291
292,1,0,0,0,0,row_292
293,1,0,0,0,0,row_293
294,1,0,0,0,0,row_294
295,1,0,0,0,0,row_295
296,1,0,0,0,0,row_296
297,1,0,0,0,0,row_297
298,1,0,0,0,0,row_298
299,1,0,0,0,0,row_299
300,1,0,0,0,0,row_300
301,1,0,0,0,0,row_301
302,1,0,0,0,0,row_302
303,1,0,0,0,0,row_303
304,1,0,0,0,0,row_304
305,1,0,0,0,0,row_305
306,1,0,0,0,0,row_306
307,1,0,0,0,0,row_307
308,1,0,0,0,0,row_308
309,1,0,0,0,0,row_309
310,1,0,0,0,0,row_310
311,1,0,0,0,0,row_311
312,1,0,0,0,0,row_312
313,1,0,0,0,0,row_313
314,1,0,0,0,0,row_314
315,1,0,0,0,0,row_315
316,1,0,0,0,0,row_316
317,1,0,0,0,0,row_317
318,1,0,0,0,0,row_318
319,1,0,0,0,0,row_319
320,1,0,0,0,0,row_320
321,1,0,0,0,0,row_321
322,1,0,0,0,0,row_322
323,1,0,0,0,0,row_323
324,1,0,0,0,0,row_324
325,1,0,0,0,0,row_325
326,1,0,0,0,0,row_326
327,1,0,0,0,0,row_327
328,1,0,0,0,0,row_328
329,1,0,0,0,0,row_329
330,1,0,0,0,0,row_330
331,1,0,0,0,0,row_331
332,1,0,0,0,0,row_332
333,1,0,0,0,0,row_333
334,1,0,0,0,0,row_334
335,1,0,0,0,0,row_335
336,1,0,0,0,0,row_336
337,1,0,0,0,0,row_337
338,1,0,0,0,0,row_338
339,1,0,0,0,0,row_339
340,1,0,0,0,0,row_340
341,1,0,0,0,0,row_341
342,1,0,0,0,0,row_342
343,1,0,0,0,0,row_343
344,1,0,0,0,0,row_344
345,1,0,0,0,0,row_345
346,1,0,0,0,0,row_346
347,1,0,0,0,0,row_347
348,1,0,0,0,0,row_348
349,1,0,0,0,0,row_349
350,1,0,0,0,0,row_350
351,1,0,0,0,0,row_351
352,1,0,0,0,0,row_352
353,1,0,0,0,0,row_353
354,1,0,0,0,0,row_354
355,1,0,0,0,0,row_355
356,1,0,0,0,0,row_356
357,1,0,0,0,0,row_357
358,1,0,0,0,0,row_358
359,1,0,0,0,0,row_359
360,1,0,0,0,0,row_360
361,1,0,0,0,0,row_361
362,1,0,0,0,0,row_362
363,1,0,0,0,0,row_363
364,1,0,0,0,0,row_364
365,1,0,0,0,0,row_365
366,1,0,0,0,0,row_366
367,1,0,0,0,0,row_367
368,1,0,0,0,0,row_368
369,1,0,0,0,0,row_369
370,1,0,0,0,0,row_370
371,1,0,0,0,0,row_371
372,1,0,0,0,0,row_372
373,1,0,0,0,0,row_373
374,1,0,0,0,0,row_374
375,1,0,0,0,0,row_375
376,1,0,0,0,0,row_376
377,1,0,0,0,0,row_377
378,1,0,0,0,0,row_378
379,1,0,0,0,0,row_379
380,1,0,0,0,0,row_380
381,1,0,0,0,0,row_381
382,1,0,0,0,0,row_382
383,1,0,0,0,0,row_383
384,1,0,0,0,0,row_384
385,1,0,0,0,0,row_385
386,1,0,0,0,0,row_386
387,1,0,0,0,0,row_387
388,1,0,0,0,0,row_388
389,1,0,0,0,0,row_389
390,1,0,0,0,0,row_390
391,1,0,0,0,0,row_391
392,1,0,0,0,0,row_392
393,1,0,0,0,0,row_393
394,1,0,0,0,0,row_394
395,1,0,0,0,0,row_395
396,1,0,0,0,0,row_396
397,1,0,0,0,0,row_397
398,1,0,0,0,0,row_398
399,0,1,0,0,0,row_399
400,1,0,0,0,0,row_400
401,1,0,0,0,0,row_401
402,1,0,0,0,0,row_402
403,0,1,0,0,0,row_403
404,1,0,0,0,0,row_404
405,1,0,0,0,0,row_405
406,1,0,0,0,0,row_406
407,0,1,0,0,0,row_407
408,1,0,0,0,0,row_408
409,1,0,0,0,0,row_409
410,1,0,0,0,0,row_410
