component_01,component_02,component_03,subjectID
-7.10291177603436,5.92075110174839,-0.699281686172566,row_001
-11.3288677842176,16.2418991767154,1.6274050376085,row_002
3.61112410893825,-8.10566344322073,-3.74443825006791,row_003
-1.64955098391747,1.37627170279367,-0.582115637595953,row_004
0.2426031288603,-1.3839633948995,1.49001536768831,row_005
-7.69464352923776,9.79597878940902,-1.08619164235995,row_006
20.4595023701598,-24.0842708129048,10.5211658731626,row_007
7.21337862864528,-4.21069214710445,0.36939365422304,row_008
-10.4305694540335,16.1158127572169,1.50702519475429,row_009
0.554024481637922,1.69406347842135,-0.163167111688961,row_010
-17.2361556431407,16.9245790568617,-0.610905804313862,row_011
5.16086713137692,-8.23900769460049,1.22297060234292,row_012
-21.1204375971767,18.6387448018283,-1.36488153345713,row_013
-6.73230216831637,8.48311635691418,-1.06596662307688,row_014
2.06154461310556,-2.04914488412859,2.5170037509776,row_015
-6.88552632064979,8.24644527544233,-1.43785523917982,row_016
-7.24145531105529,5.02251429802525,2.73423239607804,row_017
3.98435877616432,-1.56182248054953,-1.04324709550295,row_018
-16.7412803139342,15.6806132489193,-2.34701590588929,row_019
-47.9180088402957,41.8764487902647,-10.1829798425133,row_020
-1.6698368814605,-2.77285227078133,0.940342394877434,row_021
0.616524087942826,-0.184420058302614,1.10435832974261,row_022
15.6034017597554,-23.4883797847623,-0.360237925623496,row_023
-14.8259738676369,9.83480532295766,-0.505266301846556,row_024
-19.4592321754589,22.3407040963072,-7.20773397219711,row_025
-2.93056310224675,2.63883302507629,-2.48579123281871,row_026
-4.11327468380661,3.91735662455032,4.1466730244821,row_027
-4.42597423885152,-2.40011279228865,-3.49779578840526,row_028
-9.76721317687421,8.73258060668403,-1.80547401699776,row_029
-13.1469060928023,5.18496690774139,3.49090829393187,row_030
5.93837766460206,-7.7749178227571,-0.00711014110633624,row_031
-21.2511655756232,17.2244622101461,-2.96215311890874,row_032
-7.90371710872822,7.53941926928696,0.299564065694067,row_033
-17.9026931437329,18.6176416261971,-5.14783623269774,row_034
-9.47186140911749,9.27473362833809,-1.36479264385364,row_035
-3.00350126799578,-0.459784766492175,-2.82939852624114,row_036
5.48586025235305,-7.00493589626345,0.369588234234924,row_037
-4.08647992657154,5.2201385154058,-3.88046822203039,row_038
-1.55146360456526,3.80527448651306,4.1733509715924,row_039
-11.330412211685,17.7488063522207,0.0198684690077948,row_040
0.969136556789994,-1.0676657224254,1.1944879648209,row_041
-15.379420173253,10.5020809832064,2.27906273134657,row_042
-6.92822389834233,9.6550854010898,2.48070712795712,row_043
0.262421146329161,-5.22932594154923,2.32569456053113,row_044
-2.91147077112086,-3.33761805161807,2.18400379828607,row_045
2.42240754360082,-0.814126288933005,0.877202401304164,row_046
-13.8212856672396,12.0962460769669,-2.4450893955248,row_047
7.20743755088214,-4.27518040239012,1.71896863067927,row_048
-0.241164057650324,-2.54327022503539,0.562902729020883,row_049
-1.54930942641391,2.66570861343564,-0.922421695088897,row_050
-18.6144136553362,19.4392133539365,-5.95021213962139,row_051
-1.42791275397493,2.03352535803317,1.54791488844303,row_052
-9.56180545782097,10.0545477420703,2.10861219778547,row_053
-11.9198816564669,13.0037952572404,0.344460767593724,row_054
0.985294613999961,4.6833408751518,-0.106187539427432,row_055
33.4405637745005,-21.6490296444553,-4.17793084983127,row_056
-47.2571605989488,34.1907830591642,-0.881088706462408,row_057
-6.66282074407541,6.30146996722928,2.71843830289094,row_058
-22.3651796461858,19.3250518525074,-0.425177007858694,row_059
-3.71465768489513,6.87113954484709,-5.10589004983045,row_060
-4.7246398231387,-3.306655448811,1.865793017736,row_061
-12.8517229418628,7.7128217377332,0.618433505129804,row_062
-14.7645468623356,18.9382562640025,-3.49548618035575,row_063
1.83921798549056,0.439281835899374,1.55172096271569,row_064
11.3781857113891,-9.21717054394385,-1.21837092887601,row_065
7.02364592899143,-1.89388253448272,-2.23151493565327,row_066
-11.8838615049299,10.1981295549834,4.04336521389281,row_067
-16.9416056917557,7.03305755493685,3.29493388043705,row_068
13.3700610084809,-14.9803095275318,6.78822393442034,row_069
-10.6056505378024,12.536124411134,-2.60419488989527,row_070
8.10808108672991,-5.77890533041826,-1.9732627756493,row_071
8.12696764852172,-8.16519723484564,-2.33814010841927,row_072
-4.07366287251575,5.00296922983632,-0.533494971191999,row_073
1.15169972521971,-0.0111456381198534,1.2547638543054,row_074
5.96848495801369,-5.22213242073444,-2.36998873141175,row_075
-8.8134894729134,11.9651066791173,-1.56627608495269,row_076
-21.1934165989903,14.6846651712781,3.35156668031235,row_077
-6.71663400258113,5.11483085431619,3.66302562865754,row_078
-0.872257759349024,-3.5283432784738,-6.51642759421578,row_079
-26.0348358501613,21.9050387496582,1.43722092492648,row_080
-9.04107626196194,15.1154304086665,-2.90637914749738,row_081
-0.964889334998185,2.79471134812985,-2.51213082155448,row_082
-7.56852500800364,11.7060696692688,-6.2803508795478,row_083
6.24720432163417,-9.48718607139725,1.72716296392988,row_084
-12.7140482995311,14.7465544634056,-1.45358084358868,row_085
-2.41860416044355,5.91921466050048,2.33163702712366,row_086
2.49714858028406,-2.60317035733092,0.962840374317577,row_087
4.85759268605353,-5.20373427387837,-0.118214460194713,row_088
-9.58304963613962,11.818704649321,-1.60412950386137,row_089
9.95402972320923,-15.173704365265,-5.06844653638357,row_090
-8.86042762761534,10.1833221431495,-7.51933969516582,row_091
-13.6668160991228,12.7207007314175,-0.876068811801765,row_092
4.12293414495619,1.71382884590467,0.0801020533346631,row_093
3.37771272660344,-0.612701199921715,-2.09539455022699,row_094
-1.99863318931764,2.69096934736717,1.72799783222558,row_095
4.28346896983203,-4.9975981223779,-1.23350516497851,row_096
-4.14910267071399,4.61529244801509,1.35141323427498,row_097
13.7063655575608,-12.8522943225977,-3.97621819749923,row_098
2.69498712658413,-6.72772407330155,-2.10395100155441,row_099
-7.71451063691185,3.80173098199364,4.01768388728837,row_100
-18.0306103731547,23.7820726274721,-2.95302806741776,row_101
-9.39050394025996,10.4283523045467,-1.06626219124418,row_102
6.8503988898513,-5.84355145474479,0.842388660891022,row_104
-4.57438117725623,2.21334536435976,-2.78200174816801,row_105
7.28647251020802,-8.83548015997463,-2.70813995118297,row_106
-6.88425651056231,7.0631165551915,-2.65353413842702,row_107
-10.6018094964676,5.63108019067808,-2.44396635007244,row_108
7.29310584873541,-5.82569133962454,1.84171115917506,row_109
-8.551857352747,6.90088923073392,-1.69139900239451,row_110
-0.249121325333702,0.248481806021476,-1.01738378657741,row_111
-14.3920075019013,15.7733684871849,-2.69367017644012,row_112
1.04667364509468,1.27217783677497,-1.0353132208033,row_113
4.42244595037347,-2.05183575082618,-1.75281564824203,row_114
-4.63357483585244,-1.17423798357365,-2.58891650987817,row_115
-28.9001487199829,33.094540274236,5.90620963159307,row_116
-9.87700517567922,12.9682681644483,-7.14302818714445,row_117
-6.79036581225365,8.55686600279678,3.44695982370432,row_118
-7.64386985317832,1.88749686037912,-1.96192334781535,row_119
-4.63710135533719,2.66739827866597,-6.34963367082195,row_120
-7.07708112933766,10.927026173734,-1.7549295128163,row_121
-0.234869652446444,0.04009103450079,-3.84494533026889,row_122
14.0637408033145,-12.49041787134,-0.568892515921385,row_123
-12.7952099629943,9.89419779983751,2.03576702728059,row_124
7.86072105635419,-8.99679854820083,0.332505868964127,row_125
24.4458394351254,-25.0729329195823,-1.40669155633636,row_126
-28.5551833302014,28.7898088790215,2.15727657221018,row_127
-16.6766475840372,26.2042296693005,-5.76263659612443,row_128
-27.1629729764576,28.0240274250557,-8.40579483264495,row_129
32.1370564437802,-34.4483292212639,-0.403327093236642,row_130
-15.8147473860378,15.7381655969927,-5.65811808858009,row_131
-15.0930205609978,17.5085985185312,-1.4680989491014,row_132
-6.35306221534842,7.77435751477887,-4.85754510308432,row_133
19.7553751751548,-16.5372088482654,-3.56038417044151,row_134
-8.86885761450664,5.4733201570491,-2.02930603700794,row_135
-5.42533510340105,2.59341609589607,0.0785267373077813,row_136
0.0575393609701187,-3.11799771615764,-1.542436764667,row_137
-7.14009035681193,6.22441299055986,3.43779753595981,row_138
-3.88174938824876,3.86432903112023,-1.18712724391038,row_139
-10.1605366103178,7.99842578298974,-0.817201057518466,row_140
-3.47555337400112,0.975164917558949,2.11495025395558,row_141
