component_01,component_02,component_03,component_04,component_05,roiName
0.0555471927970205,0.0561153545173685,0.0548650347143935,0.0554531050294314,0.0566015522951396,Parcel_001
0.0650420234677359,0.0654859125709192,0.0642453292704314,0.0626395051660521,0.0684921939052615,Parcel_002
0.0385060585580328,0.038675781563359,0.0356117909030293,0.040019806714027,0.0346573337182031,Parcel_003
0.0317566549243134,0.0315153671164743,0.030752353479354,0.0331844069234755,0.0298699352307042,Parcel_004
0.0495524571550943,0.0492766344406717,0.0515117829764333,0.0500297161712444,0.0502768876771385,Parcel_005
0.0584485790572344,0.0575611407364816,0.0607463341163718,0.0586026050362979,0.060015769830423,Parcel_006
0.0447958824458182,0.0461793537338543,0.0440605758367322,0.0455549071336172,0.0459933253720972,Parcel_007
0.0534969828929212,0.0560523082334437,0.0509740123578811,0.0524347950786757,0.055943251411541,Parcel_008
0.0440785841823871,0.0457320114281592,0.0429843463960299,0.0448146884589044,0.0473656249036781,Parcel_009
0.0524452952530704,0.0543768382680985,0.0491877291295687,0.0519255827769172,0.0542967170522196,Parcel_010
0.0394315670794944,0.0414989591617206,0.0345242988810626,0.0397003860258378,0.0399704005061379,Parcel_011
0.0443313998711858,0.0459763553598589,0.0397187061449136,0.04278609553624,0.046138662466389,Parcel_012
0.0564843917868573,0.0578016628719734,0.0481285848639638,0.0522865458421671,0.0533294179309423,Parcel_013
0.0676514769826148,0.0671465728476864,0.0616274864769282,0.061876504660332,0.0698442426761706,Parcel_014
0.0411267176236588,0.0411208668100741,0.0411983524855484,0.0417155079125652,0.039764453743242,Parcel_015
0.034428270070179,0.0346011648881542,0.0350207402380307,0.0357369717734432,0.0338808607210835,Parcel_016
0.042077498871405,0.0425011214732349,0.0408253931645407,0.0425842124606247,0.0395701171900785,Parcel_017
0.040394540076665,0.0410912454788476,0.0408533650745856,0.0426999462947602,0.0393068617032417,Parcel_018
0.0451652863432914,0.0441426252881747,0.0453836952234512,0.0446417477272398,0.0429827514139402,Parcel_019
0.0462705236213071,0.0439757320690983,0.0461112424619277,0.0444299401389963,0.044421017796025,Parcel_020
0.0496355026615145,0.0470119673775139,0.0502963375574785,0.0491959977862375,0.0460398038622497,Parcel_021
0.0509558122360075,0.0480085080292503,0.0544517333394891,0.0486355083475141,0.0506344461551435,Parcel_022
0.0414550694621768,0.040253723727822,0.0435180484448384,0.0402486199405912,0.0409085332142089,Parcel_023
0.039549115465698,0.0381989089503507,0.0426192385606219,0.0382421970285847,0.0416224546111694,Parcel_024
0.0449440969980067,0.0471825935202224,0.0457154097531088,0.0469002352068886,0.049306275175683,Parcel_025
0.0443374313730372,0.0462800286256055,0.0439340635878313,0.0455449322752946,0.0464853992792562,Parcel_026
0.0573991488982677,0.0564198827994762,0.0550944980851867,0.0595667385838315,0.0501239302965474,Parcel_027
0.0786726058791654,0.0807460488196857,0.0743304014564633,0.0818952171881414,0.0757000708651571,Parcel_028
0.0589265735323155,0.0591374032089753,0.0611697186206997,0.0608635744818806,0.0590955271751487,Parcel_029
0.0689679170741585,0.0701135331319079,0.07344577884116,0.0721592722173607,0.0742522298854004,Parcel_030
0.071620337748519,0.0726866824653995,0.0648268756370712,0.0668560121749184,0.0706086015315732,Parcel_031
0.0404866277470259,0.0413329150357196,0.0393276057724449,0.0415872514322032,0.0413004207048794,Parcel_032
0.0693567839105916,0.0680632633274836,0.0658570011120525,0.0634273487932446,0.0681996207418541,Parcel_033
0.0349634712322202,0.0359008950742584,0.033693423264903,0.0348900380779361,0.0354899147774645,Parcel_034
0.0588781362005191,0.0631470713770378,0.0521329977436755,0.0600668470843312,0.0582428556866058,Parcel_035
0.0524950478302267,0.0519852772007614,0.0476213829123184,0.047336349571789,0.0532673066845637,Parcel_036
0.0417112274833881,0.0430632540615847,0.0349845168769252,0.0395846818394231,0.0371365514235578,Parcel_037
0.0408205299178119,0.0404180013677498,0.039169639105104,0.0399663757048094,0.0380126036466527,Parcel_038
0.0264086930841225,0.0293182795310211,0.0227003369223494,0.0288186170987532,0.0271341688654065,Parcel_039
0.0409109921231839,0.0445034714712315,0.0340300685370033,0.0429482840246668,0.0388445587596305,Parcel_040
0.0366546154177806,0.0409164237936863,0.0295671935298898,0.0377142029966329,0.03691790236875,Parcel_041
0.0410221669488366,0.0428988179450256,0.0341142450159827,0.0404027776533453,0.040430224402287,Parcel_042
0.0414285819721975,0.0485669404503248,0.0346722650817299,0.0447103621324557,0.0460293613377649,Parcel_043
0.0518980790535832,0.0564560799468843,0.045159788686656,0.051445042486539,0.0577607498247249,Parcel_044
0.0378284742012623,0.0391887359731141,0.0346941738215946,0.0401867179747493,0.0348255082539021,Parcel_045
0.034963445064528,0.0348694832823818,0.0327695169319722,0.0356147106427004,0.0318072922451528,Parcel_046
0.0592029993573248,0.0560822220543694,0.0609206785456551,0.0584744304716794,0.0554729356218408,Parcel_047
0.0507294101114485,0.0486252017408536,0.0520474623722177,0.0531404481717295,0.0469481015565397,Parcel_048
0.0358174048659261,0.0359255573737656,0.0375703781870457,0.0376188358781651,0.0363720355012496,Parcel_049
0.0414931837620341,0.0407397930357795,0.0414089532934893,0.0404238101737527,0.0406295234053543,Parcel_050
0.0435971991764335,0.0436251846882269,0.0503964655443488,0.0458186616618826,0.0513236670602155,Parcel_051
0.0629454136969897,0.0641000564829314,0.0676660163884971,0.0634226513883856,0.0704156516796759,Parcel_052
0.0479461012499592,0.0490982597177456,0.0467713295045345,0.0471618975879591,0.0479715076510005,Parcel_053
0.0527392955602746,0.0534890719241665,0.0540349922568101,0.0526048570022511,0.0560247683132187,Parcel_054
0.038028674984323,0.0377507021083433,0.0390633411437443,0.0391170883783616,0.0375240906695554,Parcel_055
0.0461216952925318,0.0452297219860811,0.0468418393729358,0.0442102395995327,0.045962837046328,Parcel_056
0.0466554760847011,0.0478939324819135,0.0492125192425812,0.0446615364242592,0.0518451970626566,Parcel_057
0.0684453818895936,0.0712885244212446,0.0750868797914994,0.0666029022317231,0.0791500994961206,Parcel_058
0.0404579648727207,0.0398599508042557,0.0414335992858361,0.0408595325344184,0.0403796632374336,Parcel_059
0.054222860281956,0.0558704775351463,0.0574273150139891,0.0551898222170364,0.061255152094663,Parcel_060
0.0664498456320004,0.0647425670348211,0.0640136784809552,0.0687383506367167,0.0593581126321468,Parcel_061
0.0656178120308095,0.0640468662150026,0.0620008509752596,0.0660845885815655,0.0577603955870511,Parcel_062
0.0512016190109623,0.051126635489789,0.0535927854266654,0.0557220271858396,0.0521689503827771,Parcel_063
0.0642012328535638,0.0674619137846645,0.0635480100230175,0.0686905092891677,0.0693632383477563,Parcel_064
0.0428426503314469,0.042744135607193,0.0415692167836862,0.0471743504322951,0.0396772808570385,Parcel_065
0.0572413845213347,0.0575990813156919,0.0541498188205708,0.0596224896844305,0.0539314411867328,Parcel_066
0.0511274297931087,0.052554243590889,0.0518027775447712,0.056804434720002,0.0530134786371624,Parcel_067
0.0532770894797769,0.0561248895376396,0.0542450965995116,0.0602060757670716,0.0590659135984375,Parcel_068
0.0524181588017463,0.0541384047244637,0.0540103270887267,0.0588378377100614,0.0583102410729899,Parcel_069
0.0502406166714177,0.0515973167853685,0.0527016176671373,0.0552344528501117,0.0540442532813276,Parcel_070
0.0299545072306283,0.0301314019808382,0.0279604591569288,0.0294551500338156,0.0272507695155252,Parcel_071
0.0396494025822598,0.0393759255647576,0.0364772546768804,0.0390671584302524,0.0354866732937371,Parcel_072
0.0191166977638112,0.0183164256195888,0.0194663730122755,0.0193116065475121,0.0181875633735079,Parcel_073
0.0446712108251094,0.0434923444033122,0.0431366693300743,0.0436081649230462,0.0410960481773953,Parcel_074
0.0569855146236439,0.0553532585514609,0.0554194942902319,0.0581681478207308,0.0518594602440811,Parcel_075
0.0527802873827841,0.0514231543723538,0.0525840684662175,0.0528287312804921,0.0506928488645765,Parcel_076
0.0250670679621308,0.027788094959522,0.023350744051179,0.0270127626817617,0.0248220830183127,Parcel_077
0.0253889945643194,0.0271923933386038,0.0234064034369387,0.0265886182787341,0.024889152291913,Parcel_078
0.0312504527851837,0.0295465984246351,0.0300254197533917,0.0317304309638746,0.0268721639362534,Parcel_079
0.047759323486228,0.0455428377680025,0.0487290458256318,0.0488579746592314,0.046666247853295,Parcel_080
0.041663104089006,0.0399445681382715,0.0448110037007688,0.0438806167310943,0.0423067893500809,Parcel_081
0.0431571342053205,0.0410564538776407,0.0446610797867993,0.0441737404810021,0.0414945254069519,Parcel_082
0.0303261674899224,0.0329801199838503,0.0290969491036079,0.0322405784991411,0.0312312804604382,Parcel_083
0.022919128764084,0.0245767236274888,0.0215997475399648,0.024722708406502,0.0224453712283942,Parcel_084
0.0411814637521166,0.0382326982718055,0.0427527035256866,0.0393424463029604,0.0387301650648524,Parcel_085
0.0702476543289634,0.0673010212623099,0.0707706394990412,0.0681671789055724,0.0668966551080203,Parcel_086
0.050897252049588,0.0494394870871494,0.0524102679763107,0.0495159383075308,0.049995859320492,Parcel_087
0.0421119518319324,0.0408529929816506,0.0436845169419208,0.0394702105933107,0.0420866969465176,Parcel_088
0.0455737706502497,0.0481664121545,0.0460010820652551,0.0460692301304691,0.0494185059286788,Parcel_089
0.0523325762461727,0.0565092722230333,0.0520095401802454,0.0520242115620943,0.0587031552870757,Parcel_090
0.0599220278404762,0.0619590815928501,0.0596040309843061,0.0589297190615162,0.0637256769915017,Parcel_091
0.0537578241318208,0.0556871848999481,0.0568268932809684,0.0543456665955792,0.0578936354019326,Parcel_092
0.0442112564689297,0.0448323954409583,0.0444369505696508,0.0438874066326494,0.0451548907106712,Parcel_093
0.0316606335399411,0.033919949813703,0.0311510999456891,0.034007184344336,0.0334114728824259,Parcel_094
0.0526847254265541,0.0524685374856741,0.0502796444257124,0.0490167000326694,0.0511826051421883,Parcel_095
0.0284267522270601,0.0286706014008713,0.0262963014708402,0.0275255907795589,0.0263906262893748,Parcel_096
0.0426324380907752,0.0448172739469435,0.0409451300945327,0.0420381842433323,0.0442239742292946,Parcel_097
0.0309898537071816,0.0337253815187626,0.0299146095458551,0.0328722754035528,0.0330273458521244,Parcel_098
0.0485965847410298,0.0481315623451577,0.0465989265371853,0.0464488180478938,0.0466542463069511,Parcel_099
0.04156649957701,0.0416873228143225,0.0392604800814726,0.0388948489421305,0.0397945404222451,Parcel_100
0.0297555554085288,0.0305755836355297,0.0283121931768543,0.0294928210058567,0.0287881437962806,Parcel_101
