component_01,component_02,component_03,component_04,component_05,timeSec
-0.207153547634658,-0.16197163271891,0.0868919830619545,-0.0528977897433133,-0.0401320640702159,0
-0.258092826985938,-0.189598468847341,0.107241517920431,-0.0740936053458047,-0.0443137173419877,0.72
-0.269057590359346,-0.175571221583901,0.103282787228643,-0.0979234225966606,-0.0284372485508274,1.44
-0.234721867227089,-0.118437243592817,0.069833206840648,-0.127405482176855,0.0108693653993527,2.16
-0.158602710386182,-0.0276473736824082,0.0124627931261913,-0.1610144826695,0.0653091114383541,2.88
-0.0506618602968603,0.0803832863733935,-0.055247494109425,-0.189918754450342,0.117767748570661,3.6
0.0723019338032384,0.184767962452001,-0.118270895607503,-0.20289402253332,0.151307611473261,4.32
0.189506005903001,0.265727657330671,-0.167161687620796,-0.195045658756032,0.158810035601408,5.04
0.280712445999647,0.309578807648631,-0.199086516161598,-0.169999791607177,0.144929065899571,5.76
0.329689089292404,0.3088773021807,-0.211846642395054,-0.132049208013319,0.117441549776913,6.48
0.32829714292362,0.262140785704903,-0.200093027132964,-0.0799231371862995,0.0782077258866781,7.2
0.280006768449055,0.176539325475894,-0.159838556896522,-0.011834325313383,0.0251441183707438,7.92
0.197919488262675,0.068206842617717,-0.0941050160206215,0.0669875260744957,-0.0392016612698262,8.64
0.0979157429029725,-0.0438210162076798,-0.011213749439139,0.146476919052687,-0.105788049722887,9.36
-0.00622300652792871,-0.144579465571335,0.0802102504074493,0.218891708535223,-0.165331215760792,10.08
-0.101738739320262,-0.223839249707973,0.170652567765791,0.279295608897266,-0.211741330402949,10.8
-0.174321485286029,-0.272167972665741,0.245577790033411,0.320376061452221,-0.23867078215245,11.52
-0.210928636532642,-0.280519544733385,0.287297202156786,0.331406585309786,-0.237229236010253,12.24
-0.20662151756956,-0.245777457736663,0.284109249769432,0.304595784238938,-0.200726639428497,12.96
-0.167219921088956,-0.175472438058831,0.237177880351025,0.242014795819142,-0.131259709482041,13.68
-0.104772558310201,-0.0853599809815758,0.157902881770971,0.155076067860518,-0.0398816626948707,14.4
-0.0315222407412542,0.00779600060759426,0.0603120789105161,0.0576565835741147,0.0591275964304727,15.12
0.0417715195550162,0.09085591174335,-0.0426018865885174,-0.0385311622260174,0.152532923172776,15.84
0.103858180281274,0.153499391800496,-0.137743092832825,-0.123053169467571,0.228482157935416,16.56
0.142424758861364,0.186321314276962,-0.211635973243529,-0.185495177350228,0.27683140141589,17.28
0.147957260242511,0.182657760985775,-0.253433964554841,-0.217297317262102,0.291587387863795,18
0.119466875836314,0.143395037648046,-0.25878537268203,-0.214845958849127,0.273564032340633,18.72
0.0664715558286828,0.0795808237700792,-0.231631312286712,-0.181677239154683,0.230402740014035,19.44
0.00499145306364039,0.00904627877837376,-0.182125302091613,-0.128105607515106,0.172215125034503,20.16
-0.0489587841999618,-0.050912059688802,-0.121335118604389,-0.0669647816936712,0.105576385477237,20.88
-0.0839501355775828,-0.0890257733835267,-0.0572649664536359,-0.00869622118013175,0.0326457243577085,21.6
-0.094963996267769,-0.101112196231036,0.00450107106323417,0.0394766934274659,-0.0433061712467098,22.32
-0.0838727253113436,-0.0894214702035681,0.0587622010926331,0.0722975327160349,-0.113958889535236,23.04
-0.0584061236554386,-0.0620124370107514,0.10108941046967,0.0873299266994926,-0.168927061694731,23.76
-0.0285993755672057,-0.0299256501951974,0.128831591244708,0.0857024353945401,-0.200810693495083,24.48
-0.00300313334649326,-0.00269649045963245,0.141220507816638,0.0704945089774113,-0.207403262157634,25.2
0.0122804528540476,0.0136822747562225,0.140347256102532,0.0459418821235763,-0.192306028428164,25.92
0.0139395340786866,0.0168553439171732,0.131162738017291,0.0180647730552989,-0.16372388025671,26.64
0.00424257834259626,0.00947155561515559,0.117298009434573,-0.00637408221720948,-0.129731065684209,27.36
-0.00815377167634595,-0.000907571654601719,0.0978791575473091,-0.0219817159969921,-0.0946135396918844,28.08
-0.0144256160721426,-0.00699366429517107,0.0718642731291765,-0.0262602338719555,-0.061061786617704,28.8
