component_01,component_02,component_03,component_04,roiName
0.0555247797774236,0.0562799513726869,0.0543614911961803,0.0556768108491918,Parcel_001
0.0663161455827445,0.0670138245320347,0.0642781580838027,0.0656769726802241,Parcel_002
0.0378037743612663,0.0378089440749293,0.0358581738301952,0.0376483037610741,Parcel_003
0.031195058672611,0.0308247691868758,0.0305592907134051,0.0314800734739473,Parcel_004
0.0501098702590504,0.0500216740567194,0.0521566231663407,0.0511042118293597,Parcel_005
0.0594005618689941,0.0588551766250655,0.0612594106597662,0.0603144768859191,Parcel_006
0.0453299234988159,0.0466862584692632,0.044581437050868,0.0463510512941469,Parcel_007
0.0545662578193777,0.0572934928635137,0.0511669022736513,0.0541544273640122,Parcel_008
0.0448080143541595,0.0465036752703623,0.0434203681633151,0.0467511887720885,Parcel_009
0.0532791752877083,0.0555260327129717,0.0491185359571979,0.0531000501776097,Parcel_010
0.0391653804738338,0.0411437330163059,0.0339745507397132,0.0391802456896976,Parcel_011
0.0449139010600298,0.046640906321857,0.0391148312535856,0.0437243960528242,Parcel_012
0.0561658890577649,0.0575558113546659,0.0469908034003645,0.0509243317632584,Parcel_013
0.0694626375974141,0.0691361973716887,0.0611194886631055,0.0653020856069406,Parcel_014
0.0409046909514669,0.0408069350546529,0.0413197687825682,0.0408922670106023,Parcel_015
0.0344588021819091,0.0345268463773089,0.0355126966722468,0.0353955634510899,Parcel_016
0.0418555495938601,0.0421961023375911,0.0410423936403465,0.041211231700308,Parcel_017
0.0400648454193329,0.0405465939348033,0.0413505742866423,0.0415373844077361,Parcel_018
0.0450517420908093,0.0440428828412118,0.0456305865120978,0.0441362037768959,Parcel_019
0.04596691980959,0.043777379885346,0.0455274156677416,0.0439786139207144,Parcel_020
0.0487303211506782,0.0459377500679595,0.0499879310182454,0.0476032950824107,Parcel_021
0.0501639402448849,0.0472068776079359,0.0535847775150394,0.0490567156855439,Parcel_022
0.0413046448304141,0.0400638795207264,0.0433743224485072,0.0404063528784249,Parcel_023
0.0395878169150278,0.0383377360278662,0.0423715199092114,0.0399127562830838,Parcel_024
0.0457186096923334,0.0481018814720214,0.0464368065600316,0.0492359039406276,Parcel_025
0.0448522919705964,0.0470291170372184,0.0441794077084151,0.0464267422966197,Parcel_026
0.0568893569357181,0.0556011256141737,0.0560741189744918,0.0560022985192027,Parcel_027
0.0780192424632623,0.0799767194868343,0.0746617916119342,0.0792415294149927,Parcel_028
0.0590525995785365,0.0594622181411176,0.0616381289828091,0.0609398720378924,Parcel_029
