component_01,component_02,component_03,component_04,subjectID
-21.5275313203305,15.9744025470421,-19.6991687322967,16.4781510072759,row_001
4.53298530348286,-11.9667943845789,-7.17093596325831,5.52696531245079,row_002
-10.6236475325301,18.2315276568944,-3.71283639176236,6.65882553546463,row_003
-11.8245878640961,10.2486319599173,-8.51841460720529,8.37756022715523,row_004
-9.42934192958995,5.9161958376167,-5.54548769528722,2.53968638304912,row_005
1.27930802636339,-3.22387666431433,-6.51501704130264,6.81098817270393,row_006
30.8108098439794,-31.2852363283591,38.8927357429113,-45.9989857062188,row_007
2.77037142256554,-1.00623528382614,8.2847007858622,-3.99995662802281,row_008
-7.22396701112308,-2.97553382257761,-13.9065388977971,12.1041505740359,row_009
-5.10126675317429,4.01581698408429,-2.54960414390374,4.48772084198711,row_010
-16.17358642457,7.43966044290997,-25.6802035970001,20.1067937491525,row_011
0.04201096073457,1.22865151414481,4.82758830105139,-6.81378209030061,row_012
-7.74231880341851,1.45713956254554,-23.5251356864416,16.548406432239,row_013
4.35903040664785,-5.10163112866651,-3.20066108353974,3.76323509088437,row_014
29.20242435213,-25.9410916285471,20.3446701404942,-21.0610720764695,row_015
1.62332591441371,-2.34992278635974,-5.3440349095963,5.8657578966849,row_016
-6.0023594621457,-0.950143148262443,-9.59848987139891,2.33228915498664,row_017
-6.22669198011773,6.88838579089942,-0.434709894678231,4.08399483069629,row_018
1.1181655501102,-2.7857720515493,-14.9838844371541,12.3740413515956,row_019
-81.8933139751141,65.8072268332508,-95.5308276850756,85.6605553851423,row_020
12.5207064538794,-9.28236397047051,6.53106691259108,-9.75146154811401,row_021
33.7864090871357,-27.9415592013106,21.8450964219068,-20.6259361991486,row_022
7.29824839811721,2.95331642227683,18.5256631046371,-18.6660359125314,row_023
-2.95415972704618,0.671005958147662,-14.7765460965491,8.1794784431125,row_024
-38.9156795884583,33.1426998359833,-43.4381990170894,45.9187212378735,row_025
-15.1107833146163,14.9346801317452,-12.553765320775,13.8636344973707,row_026
31.7584352620309,-32.8402038840921,16.4501977326429,-21.1371138082271,row_027
-20.1398889348281,23.0625759595359,-16.7456516976164,14.4475083003254,row_028
-17.0451316578775,13.0234634713966,-19.1525810822967,16.8061015971862,row_029
-31.410443982658,20.094841683889,-31.0029392221884,17.5551988667026,row_030
-13.2487407410298,14.0487902820047,-2.75322931395023,3.13817451783447,row_031
-2.03585406610907,-0.137794388054293,-20.5536323026579,14.5750988729677,row_032
-21.3587731196869,13.9926557359206,-20.48116051377,16.4262599508326,row_033
-54.2123642224734,42.7277760528847,-51.0120184935965,48.4547826703678,row_034
-19.6437209668329,13.4914165452242,-20.833578693185,17.7492077449004,row_035
-16.0345770160445,17.1964041476524,-13.085237057004,12.3592260763268,row_036
-13.0729422047531,12.3120418035779,-3.32391533967981,2.85397281198972,row_037
-19.7855551661538,19.4516334015964,-16.8289824415159,19.9169230713934,row_038
27.987091284044,-28.8798529976142,16.7444990821023,-18.5470538011036,row_039
-11.8086307275922,1.71626382908271,-17.6556472038897,17.2424802043297,row_040
-23.8956459276103,16.7432376765062,-14.1808630265587,11.1936483135629,row_041
2.4954739156617,-8.13264218405551,-11.1394894052181,1.06244055524875,row_042
-5.06542099417923,-3.36109135254557,-9.33556056026517,5.76861619290679,row_043
-4.13846963755859,3.14056819254178,-1.81196144477679,-3.38853589150375,row_044
5.18714050875192,-5.80082498493234,1.42208137235215,-8.90660024794826,row_045
10.0536034797803,-9.0728494218056,8.91858287337791,-7.68750321594959,row_046
-25.9882064985265,20.2008564028593,-29.1901549930397,25.6530135125277,row_047
15.8930058419617,-13.0742578583146,16.6249269216077,-13.2749503846222,row_048
-14.7976845517414,13.0758836465917,-9.31701938843074,6.79094603146007,row_049
