component_01,component_02,component_03,component_04,component_05,subjectID
-22.7131730406956,18.9827285136737,-20.4338398796665,11.9071004280668,-9.22854034142932,row_001
1.38519841907735,-10.4134167842322,-6.86284242018544,6.89961176155004,3.04583043268231,row_002
-9.08672452123231,18.6776561490767,-0.588748177303529,10.2201192749525,3.63670939291876,row_003
-13.250519927403,12.8603959655177,-10.1820692268551,5.51522731420214,-7.10210005105592,row_004
-11.5028101264594,8.50289371110961,-7.30828937995599,3.73521804991636,-2.23470487942538,row_005
-1.53560352576217,-0.854837604263433,-7.84031777393102,4.74432175572846,-3.61304894273167,row_006
33.2515617013996,-37.5802041535858,39.6769634767883,-28.6976392844541,26.0702929920971,row_007
2.3297057736675,-1.08988393348063,10.4740374589934,5.08856428739467,11.7963195511345,row_008
-11.9471065662312,1.07632736557685,-16.1107260645749,10.4896658424092,-4.71358859421346,row_009
-5.9788268598146,5.31529249210965,-4.03438932804064,2.12248273438778,-4.98472234625908,row_010
-18.7960019721627,10.9744934203973,-25.0632261632671,16.0923704005441,-6.28156072267307,row_011
0.419161244534048,0.888768543123308,6.15003127601263,-0.284483750054418,8.00153032575663,row_012
-10.3594495513384,4.46714740625166,-24.5130619597966,8.6180965196512,-10.5420395140404,row_013
2.31813884770866,-3.74808290970818,-3.31348736184506,4.04791438262025,0.625975611234847,row_014
30.3881985895519,-29.639510707259,21.1583118174244,-17.3782106465463,10.1291968400648,row_015
0.230433393427608,-1.29697847581741,-3.44304410016599,8.37002671316431,4.36638759240766,row_016
-7.19085772260093,0.0975930668308291,-11.8245008614551,-1.84202066396526,-6.60093915201046,row_017
-6.56019627849224,7.77719038879174,-0.274567315579606,5.21621086013645,-7.59053772118119e-05,row_018
-0.649173397013243,-1.09534277602183,-14.3936040536641,7.0060204193933,-5.1674238004928,row_019
-89.0418844004424,80.6864979760727,-98.6446022489956,57.1341094854146,-48.7574967354037,row_020
13.6197196862742,-11.2597438695578,7.29893732887134,-8.68610773345273,4.16676802460953,row_021
36.7149726940034,-33.6398573718194,24.9030501289434,-16.6608924390614,13.364322689722,row_022
12.4713741086435,-1.76680083018189,24.0971225719916,-6.39007305845407,19.0397812076322,row_023
-3.80608808287815,1.92777820582997,-15.4119125686951,1.63397110570578,-7.95266519466246,row_024
-43.0031296903843,41.3335244128524,-47.8728709292844,25.7859276895726,-33.5904273364049,row_025
-16.5440978599381,18.0072619826859,-12.5433888541614,12.4670428038432,-4.93258267409326,row_026
29.4347038521693,-34.2017664268088,14.6573535716828,-16.9137869985065,8.71232342178934,row_027
-19.4238121714125,24.9984145767032,-17.2027285480062,8.21644354139223,-11.1568189527527,row_028
-18.4210595744404,15.638616452807,-19.0387802219559,13.5188917027032,-6.32905536143134,row_029
-35.3972360016846,25.6387764577086,-32.3833537067576,18.0986859664638,-5.68644633030844,row_030
-13.4364369846651,15.7574415243502,-3.02007019741985,4.62451734623213,-1.5101000276281,row_031
-1.24993293101956,-0.241571823795277,-18.3987127517568,5.28522566751182,-7.80595647769083,row_032
-23.4629432261548,17.7441680989803,-23.3208680080941,8.5961096554118,-14.5296399769108,row_033
-58.4526525413147,51.8966697908575,-55.2283718232905,31.0686766029575,-32.4693474665428,row_034
-23.419733526263,18.5218946924331,-22.1036357662216,16.0286335821907,-6.8112745948229,row_035
-16.3255808347496,19.5710055546027,-11.6968515281794,11.9268321588323,-2.80511336528869,row_036
-12.8981584675702,13.2072836457413,-2.97690925480793,5.81161696671287,1.1621528384263,row_037
-21.2973135425091,23.1840735550311,-18.7656486067507,12.2226796761886,-14.2489112494056,row_038
27.3200026943273,-31.547695705404,14.4951250946179,-18.5030451098692,3.73949943382921,row_039
-16.8368274389009,6.50944413249369,-18.7032623913229,17.2509506001708,-3.01614098334138,row_040
-24.2001235084526,18.6707521258153,-11.8966013214469,15.7104897830179,3.20329959747069,row_041
1.92646942748763,-8.20986661284083,-11.5225929134599,-3.24692628462064,-3.56451096461148,row_042
-11.0478850050808,1.95266450666367,-13.2730132675369,6.32682073005864,-4.30496876222611,row_043
-3.04352554138019,2.26995495311571,-1.37872501527177,-2.51718176480036,1.16861978595553,row_044
7.05950792677002,-7.82298278437091,-1.42887483973119,-17.2078192746625,-9.62356276487674,row_045
9.43851236210331,-9.32421861468806,6.5017345072425,-9.53819534429861,-2.5806216077893,row_046
-29.8103468157739,26.1007022485403,-30.8588322563521,19.8142892169421,-12.8788659545758,row_047
17.589784648454,-16.2554962627327,15.6032579217606,-13.7959002740373,1.74238003915071,row_048
-15.4081092408324,15.1476821450895,-11.6819452555458,2.30062582377862,-9.64449826829367,row_049
-16.3315841166706,15.5144360093229,-12.4257452375152,8.14090152891116,-8.47960132875593,row_050
-47.087466190677,44.6950434297387,-48.6993150572588,26.5484954728541,-31.6487085824682,row_051
3.27429399072518,-7.42359796048855,3.20986985477355,2.3679644113301,9.31787170177932,row_052
-9.27112356690899,0.84817557488369,-13.8920824248974,5.5461200641444,-3.56163720075653,row_053
-13.5450897438715,6.65549173449678,-18.79741156733,8.21710739659712,-8.73841133308686,row_054
-8.41226748467018,4.78380731234494,-5.99800213490988,3.70705480139026,-6.8209056263162,row_055
11.9956430541281,3.83934001484706,32.3604829211845,-10.0957314700909,-1.01278849095517,row_056
0.192081456825012,-9.47549924292184,-38.5618270974266,8.79016688638726,-8.3788144261001,row_057
22.4250169226696,-25.4061426438015,8.5727535185673,-11.4492012292045,5.15855600499105,row_058
-16.2063265785729,8.1115906756436,-32.070538090672,6.50999901879025,-18.9467688898533,row_059
-22.0054527161971,24.3221848408465,-16.7029524478921,19.0943654201925,-8.10640189720021,row_060
-54.0117649800105,47.1847625600923,-38.525848039742,20.4160290090501,-15.9092202053417,row_061
-15.0283165159037,10.3633664318873,-20.1414920315972,7.00065943128977,-7.33836970459757,row_062
-18.8436453494919,15.1152629194178,-26.2638030099616,14.7484619306344,-17.0350683713119,row_063
-0.473551434242938,-1.67002379272192,1.00920117056036,-0.593111768586237,-0.15971609360005,row_064
-15.4308439867873,18.8376710740382,0.549758945728034,8.34434838924787,0.164410180372339,row_065
-34.0305069663996,32.5661054583425,-15.5014649453847,19.5567085476551,-7.69108412674634,row_066
30.8848037917642,-36.545501502771,9.73808357132542,-16.2049217841544,7.26336383596022,row_067
-8.59015079804839,2.08928183038715,-21.3361278625987,-4.64660348789726,-11.8343452575103,row_068
-9.17057531614525,2.57408502064602,4.18336086370484,-8.18780129418633,1.74042634526455,row_069
-27.0494067567325,23.8107501764872,-26.8572017225734,17.5537227305034,-14.7296373245488,row_070
-46.3759371593619,45.7845519323174,-21.375035006108,25.5746478887876,-8.20246480194017,row_071
-30.2697455308487,33.3546326188622,-11.6930581260116,15.2120763512445,-6.0077908419046,row_072
1.63463332077216,-1.79536383854261,-3.64788365874352,-0.445012558441045,-4.72313367928556,row_073
7.7420260500265,-8.33932622216964,6.890852729933,-2.50993847447662,5.54319632147118,row_074
-11.6391790835133,15.4218371090187,-2.14778176184945,8.59445897186151,-0.386566980256195,row_075
-55.3444911399927,45.8157805118321,-42.2989298834101,31.1904170349278,-18.5256712556034,row_076
19.4927173993783,-25.8071839499294,-7.15819349612416,-13.7695134999357,-4.28952804419992,row_077
4.64566492914861,-11.9051043349971,-1.47313397642081,-2.20865207026776,5.45447656532222,row_078
-22.4234484579995,32.0231891350219,-12.4681585660068,21.299178429647,-0.479112484050658,row_079
-39.8891097441031,25.13574029051,-49.2444596584143,15.8877596641253,-25.2046291347966,row_080
-12.0621864364815,10.2381244037862,-19.0861577434098,4.99189153120353,-21.4758867204916,row_081
-33.6675195085539,33.4496612845853,-23.7935310973818,14.7068739330688,-18.3697341087692,row_082
-17.1442708182913,20.564154861561,-16.8675922144412,18.7634696925932,-9.40184311912396,row_083
6.64538091471449,-4.4880950270969,10.2539919616485,-4.13635125875963,9.00886390620415,row_084
22.4412100523334,-22.9479445267691,4.32592435790585,-1.8638716681948,5.68217200783127,row_085
-41.9044838080599,29.8159579191834,-29.134154993031,18.2351862632215,-13.3519000307929,row_086
-0.788234455325365,-0.266018965035653,3.56859341559641,3.21761670598777,7.7442675587316,row_087
-18.935957274816,18.855612097503,-9.25962859139831,5.32135775312763,-7.83194665824973,row_088
-14.8535157985774,9.56425248918481,-17.0050801168076,11.7133913686813,-6.50956211646496,row_089
-32.4848437899038,43.5280600308547,-11.5987948386345,17.3826805207037,-5.78156631210526,row_090
-20.8853365146896,26.942553032349,-20.5154008695022,20.8353879272379,-11.3598770652643,row_091
-11.7518607926622,7.89620800878579,-17.7914713461863,11.8546612399501,-4.33639438704171,row_092
-16.9067695813576,14.3371663897138,-9.66568110543992,4.19095784569481,-13.056887872398,row_093
10.820528166541,-6.79668348720323,10.4175833839687,-0.18596005934259,6.1705769030088,row_094
11.8475088863302,-13.8583474566304,5.52556842370018,-7.06212383898037,2.23762728772891,row_095
2.2647395695189,2.57070212610081,6.62254877802707,2.81242876451411,6.42171750739903,row_096
21.9442237639528,-22.3054403951946,8.52167844433959,-15.2224548547319,-1.7885013794947,row_097
-32.2280919836085,39.2513874383642,-9.15945894888622,16.9869265002716,-6.61184291960766,row_098
-39.4041722718912,44.1669715067715,-22.2003247221076,20.4520688313893,-10.8663340330635,row_099
5.45296565819457,-11.4962141598826,-3.67363486635788,-7.93957048737049,-0.990380019660335,row_100
-43.6655904589093,33.3959881857337,-45.7098141618902,25.203444177285,-27.3365262937307,row_101
-29.9020088175023,23.3091875433839,-27.7862726508002,15.4943092610746,-14.2964687293633,row_102
-15.4318004956762,14.4598705193738,-3.03336613862088,8.59783186253973,1.80607200408622,row_104
-12.0425116625793,15.045297323317,-9.98444177567973,13.0027876109297,-0.0879307759299688,row_105
5.16316236520662,2.95590799842251,11.4279750687123,1.75429860194177,8.69700002468871,row_106
-20.3670729474238,19.8195426195867,-18.2023146940631,15.3950148605618,-7.39566312303145,row_107
-6.57314333359542,7.87228017824064,-12.1473100143884,7.40325428533913,-2.3268848300257,row_108
11.6384536413526,-10.5759439436435,12.4323560916719,-10.8006251590823,1.9844040732189,row_109
-14.855556810392,13.1781274560944,-17.0139881957339,9.29709479721135,-7.97773657591495,row_110
14.0735673414047,-10.453633987351,6.89260894294004,-9.92302913931506,-2.96880452922691,row_111
-50.8684158438381,42.6851534565024,-46.6401235012064,23.8742006492669,-28.3637595893434,row_112
