rank,cpEnergyFit,svdEnergyFit,bestStartConverged,possibleDegeneracy,medianSplitHalfCongruence
1,0.0216018860529619,0.0252048359147373,1,0,0.671601044319809
2,0.0401401023525331,0.0460013036103549,1,0,0.711675244362511
3,0.0550383403080784,0.0638064677824934,0,0,0.702647034156617
4,0.0668829029904964,0.0782705882362037,0,1,0.619648631552516
5,0.077221330316127,0.091262917994434,0,1,0.825901564455735
6,0.0847822919507745,0.10194164295509,0,1,0.68880117395829
