component_01,component_02,component_03,component_04,component_05,component_06,roiName
0.0560640641206284,0.0553990865075881,0.0567369497872675,0.0541865576074854,0.0575293118135735,0.0539913704707743,Parcel_001
0.0671018748863608,0.0653811503491474,0.0667972762895423,0.0640285076067927,0.0697956501055825,0.0607832871964335,Parcel_002
0.0375269629658375,0.037419745803435,0.0380299020483615,0.0408294124568183,0.03631197570992,0.0397575963651297,Parcel_003
0.0302891012528592,0.0304599670703949,0.030230833944139,0.031139703481954,0.0295555739715275,0.0326283726693334,Parcel_004
0.0511018389118646,0.0519266031215696,0.0512661849922378,0.0517715628819864,0.0500767122942537,0.051584453063129,Parcel_005
0.0602916031143825,0.0610901292439334,0.0598509637312671,0.0600584343194479,0.0598179628907713,0.0596098184829505,Parcel_006
0.0455578938040216,0.0448356470224,0.0465581890955688,0.0436979862429905,0.047576243220848,0.0438182031344596,Parcel_007
0.054721675697388,0.0521671798178549,0.0564478315254549,0.0505466560727405,0.0582193951769119,0.0497492646550777,Parcel_008
0.0449701272213023,0.0433829375689854,0.0459559047804043,0.040964881604204,0.0488234109449126,0.0427589092312628,Parcel_009
0.0525101233479112,0.0495436634422715,0.0545048783164523,0.0481972916180677,0.055901122695708,0.0489840555133805,Parcel_010
0.0394895228424221,0.0360955455719805,0.0406331158152517,0.0363353675181074,0.042445045417358,0.0371482193467555,Parcel_011
0.0444166374122687,0.0405858850218703,0.0453811456144256,0.039552952612791,0.0479561047283155,0.0406330310653593,Parcel_012
0.0556056444606079,0.0499834911844751,0.055925430045862,0.0521481882260015,0.0567016650129448,0.0485181853027979,Parcel_013
0.0673640633515319,0.0607607589241388,0.0668534140324169,0.0570059398921428,0.0685368215773352,0.0578495541659934,Parcel_014
0.0403418975200804,0.0408612395767763,0.0408945255368559,0.0407765876498181,0.038929894779175,0.0416939174143377,Parcel_015
0.0342091909441727,0.0350500004104741,0.034543526874754,0.0351010685013696,0.0338632724381792,0.0355995513475003,Parcel_016
0.0412479900612495,0.0413914069635597,0.0418793929343649,0.0418114202837118,0.0397675461909617,0.0418295118391177,Parcel_017
0.0404808906413732,0.0412985785286052,0.0413263858439117,0.0413009243373498,0.0407495659369469,0.0421319198575383,Parcel_018
