component_01,component_02,subjectID
-6.74099068671684,5.53460693188108,row_001
-8.10034088026909,13.0863897000999,row_002
-0.200044501197826,-4.37408503490611,row_003
-2.17987607447964,1.91210091857121,row_004
1.18881494760878,-2.31963959313852,row_005
-6.80376502725434,8.86698298565825,row_006
23.6070087172785,-26.8038286094853,row_007
6.53685167776439,-3.48992227679196,row_008
-7.01704147228126,12.7029683319217,row_009
0.475573137530433,1.79484632313071,row_010
-15.3423137017917,15.000866562369,row_011
4.93918529420693,-8.0210255024517,row_012
-19.0415181805318,16.4584792234498,row_013
-6.17440952809985,7.89570153589662,row_014
3.34563322420915,-3.21152284714631,row_015
-6.55956532004558,7.88882383819257,row_016
-4.84661113505851,2.6911299831459,row_017
3.13879356324291,-0.769078645175534,row_018
-16.2467960148229,15.1621697334877,row_019
-48.6916977736083,42.2699644969515,row_020
-1.57294115389506,-2.76457442966238,row_021
1.28297646631407,-0.762044481971556,row_022
12.1336396695365,-20.055229368178,row_023
-13.9780303929328,9.02235227689899,row_024
-20.9374410923499,23.5409769129362,row_025
-4.24710479978704,3.87547616122682,row_026
-0.633863188945989,0.652653332112748,row_027
-6.96180906432135,0.0165151055627231,row_028
-9.81747113608438,8.74080678901937,row_029
-10.9463987447574,3.14532873184289,row_030
4.73452698843274,-6.55870475172763,row_031
-20.3991628162547,16.1910285014006,row_032
-6.61810055114964,6.19332041817811,row_033
-18.3109467152045,18.6831231877367,row_034
-8.83252938784011,8.54469337847822,row_035
-4.6465228164004,1.00953715125201,row_036
4.42444441622975,-5.89511017029452,row_037
-5.86006279354024,6.90410858791079,row_038
1.62500246190839,0.810765948228425,row_039
-8.79437578850378,15.1812609276171,row_040
1.59282382170953,-1.69900504159773,row_041
-12.0960184684757,7.19315294978118,row_042
-3.96628271596828,6.74473210576762,row_043
0.761475642028199,-5.58051432142795,row_044
-1.78030852456135,-4.41390333425113,row_045
3.25096418649218,-1.64371544169468,row_046
-13.8377028035412,12.0342639998527,row_047
7.60834144102399,-4.64354228584087,row_048
-0.549716029583439,-2.20138215648377,row_049
-2.22978614889058,3.3552033632312,row_050
-19.6560769191505,20.2419421156388,row_051
0.259555352741585,0.405272158738691,row_052
-6.78825403034367,7.37075081972018,row_053
-9.96303458714174,11.0115187997615,row_054
1.48168462778294,4.19120263851251,row_055
27.7143354316182,-16.0470694825457,row_056
-42.9044713173702,29.8536381224727,row_057
-4.19146488022657,3.94081067758281,row_058
-19.604462320157,16.4936537888363,row_059
-5.92424324877001,8.85547551771916,row_060
-4.26984331236346,-3.79903293075879,row_061
-11.5640182581967,6.44978286474284,row_062
-14.3682665100587,18.4532748394547,row_063
2.86657432914004,-0.551377267950119,row_064
9.08613638354393,-6.96464339256585,row_065
5.37811207714175,-0.427126928181378,row_066
-7.6022723707232,6.076181284195,row_067
-13.8885662827298,4.10998913881523,row_068
15.3150773611974,-16.7369130759716,row_069
-10.5625015029056,12.4175874156567,row_070
5.73696891301889,-3.55570187480551,row_071
5.175519348811,-5.30114793378856,row_072
-3.94123331056666,4.91527946621759,row_073
1.8710258750791,-0.644126522415809,row_074
3.77316411016411,-3.11100350084024,row_075
-8.15897364940768,11.152619500973,row_076
-16.9707310076575,10.6503898988975,row_077
-3.75879603024908,2.28622894667626,row_078
-5.62505675635774,1.05706497132504,row_079
-22.0611344564933,17.89607723853,row_080
-8.90956148300867,14.9016738096922,row_081
