component_01,component_02,component_03,roiName
0.0562162403085163,0.057592681034892,0.0483065426774059,Parcel_001
0.0673716641823577,0.0691991776890959,0.0555765327275825,Parcel_002
0.0368757286457581,0.0387768055928649,0.0362175621632165,Parcel_003
0.029576594617745,0.029318201237456,0.0333791762257476,Parcel_004
0.0563255538465584,0.0551801254776161,0.0428885384888795,Parcel_005
0.0637821299404155,0.0625668827916143,0.0532813754296841,Parcel_006
0.0460866607819138,0.048017582806646,0.0423048191337628,Parcel_007
0.0527379538902,0.0561535052013089,0.051163989648923,Parcel_008
0.0457291325866375,0.0491936475934116,0.039286017271874,Parcel_009
0.0519053229767003,0.0565987101455136,0.043994571011752,Parcel_010
0.033125072412035,0.0393897524571091,0.03682473761753,Parcel_011
0.0386260888713781,0.0443377822348991,0.038642731131262,Parcel_012
0.0454852370391918,0.0516423834775451,0.0488706029538103,Parcel_013
0.0595415675173169,0.0649036608940517,0.0525276732702166,Parcel_014
0.0418890692855117,0.041747685205244,0.0389384969583207,Parcel_015
0.037103264334639,0.0366287626121017,0.0327587432058176,Parcel_016
0.0414346441187892,0.0420540979037613,0.0402660746955933,Parcel_017
0.0419682342286204,0.0415439872334289,0.0402976509920875,Parcel_018
0.0485475574100188,0.0477467184994223,0.0379496770285483,Parcel_019
0.0484583817058456,0.0477128463011992,0.0343876712906768,Parcel_020
0.04832342387175,0.046416258494251,0.0452820407225495,Parcel_021
0.0540457351287033,0.0505291655631029,0.0426564003517735,Parcel_022
0.0430883601965525,0.0403067610976777,0.0398118296301323,Parcel_023
0.043753034574334,0.0412939411733634,0.0337613388301398,Parcel_024
0.0490922566080452,0.0511542536312831,0.0455049888913752,Parcel_025
0.0484828354734064,0.0511171463802374,0.0384270489691416,Parcel_026
0.0537913862762547,0.0539460757551308,0.0553147716755873,Parcel_027
0.0723509995855379,0.0772012850008867,0.0801330085041598,Parcel_028
0.0614731417382802,0.0605651314384639,0.0621565737580723,Parcel_029
0.0730093283817657,0.0728122520384876,0.074633310466586,Parcel_030
0.0642448626990427,0.0691313003250561,0.0614932753951609,Parcel_031
0.0398865087361409,0.0416969022055655,0.0344495489369117,Parcel_032
0.0684707385141297,0.0707165251260912,0.0524460187441344,Parcel_033
0.034741305302557,0.0366849326723793,0.0321742928935392,Parcel_034
0.052187730237826,0.0603911132926708,0.0525838251671036,Parcel_035
0.045888050951445,0.0486930756853018,0.0428446597259069,Parcel_036
0.0335564208753497,0.0385883023732625,0.0364764820937722,Parcel_037
0.0402487061815371,0.0403748965548662,0.0323997398787094,Parcel_038
0.0221296336146531,0.0271976976890007,0.0261265281761202,Parcel_039
0.0357851111045771,0.0431233797563618,0.0345401194750046,Parcel_040
0.0284420447004804,0.0376420431721826,0.032151542196662,Parcel_041
0.0341207421529308,0.0412423020206739,0.0328577759647059,Parcel_042
0.0314632299462212,0.0446428217773666,0.0394447019578047,Parcel_043
0.0415445787864387,0.0519406050179303,0.0510431387635984,Parcel_044
0.0348725484316735,0.0372754721964004,0.0417884931250219,Parcel_045
0.0341346281792557,0.0353666384942383,0.0306819865105175,Parcel_046
0.0591211933276064,0.054488950481983,0.0561212846401202,Parcel_047
0.0540270957497857,0.0516308506241674,0.0481125719824468,Parcel_048
0.037655324201033,0.037634564267045,0.0383404162049793,Parcel_049
0.0411937292251304,0.0414116176193858,0.0386758452577872,Parcel_050
0.0503932092255894,0.0474597689452372,0.0498123771681473,Parcel_051
0.0696816605688476,0.0700361870061663,0.0586895297061555,Parcel_052
0.0471895044728024,0.0470594385809369,0.051494089531189,Parcel_053
0.0560482909546784,0.0560278355365394,0.046727918444068,Parcel_054
0.0397036269502549,0.0394005955309685,0.0368897540406369,Parcel_055
0.0492245460220484,0.0480844130287702,0.0404163103244536,Parcel_056
0.0499061645182595,0.0487936162646023,0.0423226580043641,Parcel_057
0.0791394068556584,0.0769397142312185,0.0612696493698623,Parcel_058
