component_01,timeSec
0.131254036187945,0
0.164234118032913,0.72
0.168897717362244,1.44
0.145363829303629,2.16
0.10454209109795,2.88
0.0576650407449633,3.6
0.00947782410456281,4.32
-0.0406920735010708,5.04
-0.0932032441892899,5.76
-0.144105187714305,6.48
-0.18615123165836,7.2
-0.21183331633193,7.92
-0.214359934291724,8.64
-0.187488179505974,9.36
-0.128113502307378,10.08
-0.0417790959625776,10.8
0.0547880328040518,11.52
0.139534598933653,12.24
0.196000759372309,12.96
0.219384283989631,13.68
0.2133260991968,14.4
0.183474458950869,15.12
0.134593899459695,15.84
0.0711465249710753,16.56
-0.0012716446612234,17.28
-0.0747730447814293,18
-0.139553811203224,18.72
-0.187061064749825,19.44
-0.213845573379507,20.16
-0.221589011787663,20.88
-0.212826415294833,21.6
-0.187420393011268,22.32
-0.14363504649997,23.04
-0.0820128850643121,23.76
-0.00785402636200325,24.48
0.0698157817019169,25.2
0.141464493778999,25.92
0.198724828648257,26.64
0.232195210226028,27.36
0.23070636197723,28.08
0.190493497483701,28.8
