component_01,component_02,component_03,component_04,timeSec
-0.204405899109657,-0.190855363039488,0.0719228196850365,-0.0179528504672492,0
-0.255011383553759,-0.226724315392465,0.0877493866981005,-0.0290432901751426,0.72
-0.265854811880009,-0.216853857664369,0.0817919464922938,-0.0490268739846628,1.44
-0.231054676618868,-0.159462870399828,0.0489973995627201,-0.0815455924979175,2.16
-0.154025775295237,-0.0644622583158622,-0.00602475976651493,-0.123087922502123,2.88
-0.0455933858521735,0.0508993567769658,-0.0706495876462399,-0.161757589615831,3.6
0.0760841494075746,0.164255378790593,-0.130186792209207,-0.183679253835092,4.32
0.189586054282596,0.253855742352134,-0.175292474943577,-0.182742096681698,5.04
0.275551613684192,0.304514212446384,-0.203381497253361,-0.163066827775366,5.76
0.319512384617821,0.308655240606133,-0.212388016678989,-0.130340095617105,6.48
0.314531284786518,0.265748305775634,-0.196879370948077,-0.0840724223190948,7.2
0.264133543570077,0.183769569484948,-0.153003598467272,-0.0218029076066922,7.92
0.181178818023563,0.0790531716406788,-0.0842798947158725,0.0524367346798206,8.64
0.0819183720153421,-0.028962800947121,0.000557663469829339,0.128679986015793,9.36
-0.0192467430683911,-0.124414037669579,0.0929189398264116,0.198177989160314,10.08
-0.10964495021584,-0.196705318980592,0.183675951226516,0.255292467921775,10.8
-0.17586750151703,-0.237396138851762,0.258716935171985,0.292910734633634,11.52
-0.205851775846379,-0.239328034382381,0.300586295468573,0.300784790960759,12.24
-0.195170960409248,-0.200990204537914,0.29759943957348,0.27128668787811,12.96
-0.149781325957237,-0.130344208801966,0.250822689123222,0.206221002745095,13.68
-0.081811434330726,-0.042446990071665,0.171434769152936,0.116428847068214,14.4
-0.00369644960469275,0.0469273303791365,0.072962560314035,0.0153318440953838,15.12
0.0733510337409914,0.125129090188931,-0.0321994809425436,-0.0850491527444968,15.84
0.137221230078774,0.181623342020501,-0.130938471527262,-0.172901596965914,16.56
0.174582952129884,0.206448298433592,-0.208695147904979,-0.235882773158051,17.28
0.17548249300981,0.192894348183515,-0.253001829941144,-0.264250041197771,18
0.139713274397773,0.143171666460219,-0.258456289474084,-0.25520903204838,18.72
0.0784973070044102,0.0706033839145319,-0.229174326037502,-0.214636258065584,19.44
0.00913493043878773,-0.00568061440856807,-0.176408053422389,-0.154041299237273,20.16
-0.0524968313204866,-0.069238610104898,-0.112534743171301,-0.0844784677720966,20.88
-0.0957847880455636,-0.11054441530974,-0.0467318726950699,-0.0134782187129682,21.6
-0.115562985376538,-0.126036397551951,0.0144174256005141,0.0523132186290374,22.32
-0.112077834798721,-0.11707220018547,0.06520624241211,0.104831407304431,23.04
-0.0910252041093846,-0.0904276479028589,0.101760671164644,0.137419120948497,23.76
-0.0613000540376908,-0.0566254773537042,0.122993272406216,0.148011316132578,24.48
-0.0316244671075703,-0.0257433653394377,0.129656150926141,0.138444696099212,25.2
-0.00926726653775567,-0.00486936209847616,0.124329950385187,0.113300571732048,25.92
0.000779300166877812,0.00268098496935235,0.111728069078459,0.0798677896269524,26.64
-0.00102464171397336,-0.000915749343668667,0.0957463829961546,0.0463571238981075,27.36
-0.00763438294613903,-0.0081278463766182,0.0767100561243843,0.0192530374056935,28.08
-0.0111390631647114,-0.0115664675109939,0.0543818920165906,0.00225633574121891,28.8
