component_01,roiName
0.0530072474334434,Parcel_001
0.0661672998494181,Parcel_002
0.0311987405425645,Parcel_003
0.0274981271277519,Parcel_004
0.0544190202890732,Parcel_005
0.0632713246780835,Parcel_006
0.0426404083591568,Parcel_007
0.0507494068701275,Parcel_008
0.042096365040274,Parcel_009
0.0472468178875203,Parcel_010
0.02856971819308,Parcel_011
0.0335978116950506,Parcel_012
0.0339605676086262,Parcel_013
0.0537281462814894,Parcel_014
0.0423383075668574,Parcel_015
0.036604372579758,Parcel_016
0.0420728236314663,Parcel_017
0.0407018463908684,Parcel_018
0.0477549424654052,Parcel_019
0.0452193295774794,Parcel_020
0.0510092063629832,Parcel_021
0.0570610797965478,Parcel_022
0.0467092680645518,Parcel_023
0.0460665194074135,Parcel_024
0.0452788698612216,Parcel_025
0.0486003605949917,Parcel_026
0.046954924743198,Parcel_027
0.0724401555826688,Parcel_028
0.0649306267797192,Parcel_029
0.0816738055357603,Parcel_030
0.0572002306721213,Parcel_031
0.0402519086662676,Parcel_032
0.0697806861549961,Parcel_033
0.0357760213857634,Parcel_034
0.0520899167266197,Parcel_035
0.0391270528284237,Parcel_036
0.024754737526269,Parcel_037
0.0347608418058069,Parcel_038
0.0201886156017463,Parcel_039
0.0263432778688104,Parcel_040
0.0258684263051764,Parcel_041
0.0274341535020102,Parcel_042
0.0312768282873442,Parcel_043
0.0371278994385193,Parcel_044
0.0295211865654724,Parcel_045
0.031733074831266,Parcel_046
0.0576633538442066,Parcel_047
0.0508527861771622,Parcel_048
0.0371789441308998,Parcel_049
0.0378424128714261,Parcel_050
0.0533645225902989,Parcel_051
0.0709966713784074,Parcel_052
0.0472754315183048,Parcel_053
0.0589210448548619,Parcel_054
0.039765283018857,Parcel_055
0.0468839244279204,Parcel_056
0.0559201566540493,Parcel_057
0.0935802316040746,Parcel_058
0.0436356220685756,Parcel_059
0.0604470953464506,Parcel_060
0.0605315348966543,Parcel_061
0.0563431861273149,Parcel_062
0.0548053513037478,Parcel_063
0.0625434810734554,Parcel_064
0.0376203083120609,Parcel_065
0.0479072232047555,Parcel_066
0.0531603203899159,Parcel_067
0.0543818969791675,Parcel_068
0.0510379503830053,Parcel_069
0.055564419378342,Parcel_070
0.0272406748699886,Parcel_071
0.0346672843744136,Parcel_072
0.0189832942119343,Parcel_073
0.0408684684338916,Parcel_074
0.0498334348839596,Parcel_075
0.0532031973028034,Parcel_076
0.0230578090315347,Parcel_077
0.0235904436057877,Parcel_078
0.02769781317273,Parcel_079
0.0448609665111125,Parcel_080
0.0454289369935236,Parcel_081
0.0435285721613794,Parcel_082
0.0291655721663268,Parcel_083
0.0208760561517714,Parcel_084
0.0441840383939826,Parcel_085
0.0700693036900544,Parcel_086
0.0571989279058766,Parcel_087
0.0438552368403996,Parcel_088
0.0510775359311573,Parcel_089
0.0579907020664044,Parcel_090
0.0669001262547912,Parcel_091
0.0721600616427324,Parcel_092
0.0480761639785968,Parcel_093
0.0337608244947455,Parcel_094
0.0488903533583301,Parcel_095
0.0246879453252018,Parcel_096
0.045481141161887,Parcel_097
0.0327596080229318,Parcel_098
0.0495649884807287,Parcel_099
0.0406019177144526,Parcel_100
0.0285764954572169,Parcel_101
0.0331336537377148,Parcel_102
0.0368595576377479,Parcel_103
0.0250132819764716,Parcel_104
0.0469343153381453,Parcel_105
0.0330753487012265,Parcel_106
0.0400835412004091,Parcel_107
0.0369796080226899,Parcel_108
0.0325823107984738,Parcel_109
0.0299191836220582,Parcel_110
0.027166981194829,Parcel_111
0.0494893881871059,Parcel_112
0.0451132723743711,Parcel_113
0.0672905555181076,Parcel_114
0.0288908313658869,Parcel_115
0.0843984959379339,Parcel_116
0.0794947749934198,Parcel_117
0.0966035714128367,Parcel_118
0.0503598338781106,Parcel_119
0.0781842836969218,Parcel_120
0.0268967458410424,Parcel_121
0.0377843633059294,Parcel_122
0.0486035877866231,Parcel_123
0.0788276576162147,Parcel_124
0.0520513803590093,Parcel_125
0.100378262772047,Parcel_126
0.0261189362607256,Parcel_127
0.0506342221839963,Parcel_128
0.0372125328488059,Parcel_129
0.0449438645676126,Parcel_130
0.0374646058802623,Parcel_131
0.04642824276439,Parcel_132
0.0559024850240644,Parcel_133
0.0687018503017312,Parcel_134
0.0494716557923039,Parcel_135
0.0455141109817106,Parcel_136
0.042642782285373,Parcel_137
0.0605153806222951,Parcel_138
0.0426535282791683,Parcel_139
0.0557446038932987,Parcel_140
0.0461150567771855,Parcel_141
0.0539782663769905,Parcel_142
0.0375056954398874,Parcel_143
0.04708211777021,Parcel_144
0.0674513591926362,Parcel_145
0.0526058985956843,Parcel_146
0.0537621679255864,Parcel_147
0.0611750282420308,Parcel_148
0.0467325432342626,Parcel_149
0.0716544165210611,Parcel_150
0.0390273161865404,Parcel_151
0.0463648968517204,Parcel_152
0.0367987917953083,Parcel_153
0.0551968320259652,Parcel_154
0.049264331281175,Parcel_155
0.064619005040123,Parcel_156
0.074571029972493,Parcel_157
0.055128855909182,Parcel_158
0.0620400151247141,Parcel_159
0.0627345145296556,Parcel_160
0.0777562338982009,Parcel_161
0.0689751473271597,Parcel_162
0.0570263045098357,Parcel_163
0.0463397339068196,Parcel_164
0.0756200485740717,Parcel_165
0.076560331711814,Parcel_166
0.061678534571306,Parcel_167
0.0686390463281289,Parcel_168
0.060947607717627,Parcel_169
0.0641941123963435,Parcel_170
0.0571481557871661,Parcel_171
0.0571665784046044,Parcel_172
0.0598698392529326,Parcel_173
0.0502296989565764,Parcel_174
0.0175873525666736,Parcel_175
0.026163936986262,Parcel_176
0.0305246092989833,Parcel_177
0.0579562289394161,Parcel_178
0.0193209461108355,Parcel_179
0.0207148801313022,Parcel_180
0.0316591188313345,Parcel_181
0.0336752529589607,Parcel_182
0.0228556923203405,Parcel_183
0.0207812992277444,Parcel_184
0.00959813053101289,Parcel_185
0.00326121063084647,Parcel_186
0.0366810027290974,Parcel_187
0.0516256399179478,Parcel_188
0.0618838110279996,Parcel_189
0.0228040761595196,Parcel_190
0.0459076303044391,Parcel_191
0.0391943149154673,Parcel_192
0.0477696441459486,Parcel_193
0.0625495858701573,Parcel_194
0.0690093577283438,Parcel_195
0.0561381815669318,Parcel_196
0.049133820863418,Parcel_197
0.0469886200358629,Parcel_198
0.0399803414177952,Parcel_199
0.0489256842675183,Parcel_200
0.0372445996124616,Parcel_201
0.0453121120812251,Parcel_202
0.0308814607328154,Parcel_203
0.0321846745537837,Parcel_204
0.050621322897903,Parcel_205
0.0557887516884442,Parcel_206
0.0427667512402245,Parcel_207
0.0452644954197961,Parcel_208
0.0453488726911248,Parcel_209
0.039156861291284,Parcel_210
0.0307597246517906,Parcel_211
0.0362793022143679,Parcel_212
0.0236203387613687,Parcel_213
0.0236253990812682,Parcel_214
0.0433013737221531,Parcel_215
0.0595166392914129,Parcel_216
0.0531744203545831,Parcel_217
0.0560877117879706,Parcel_218
0.0336113351702751,Parcel_219
0.0413630877627741,Parcel_220
0.0535348150551975,Parcel_221
0.0600936148262167,Parcel_222
0.043599658133503,Parcel_223
0.0450059947176058,Parcel_224
0.0462610460910655,Parcel_225
0.0482971271861063,Parcel_226
0.0302433467915719,Parcel_227
0.0291725849124245,Parcel_228
0.0143111980110871,Parcel_229
0.0248683575265409,Parcel_230
0.0259067955774372,Parcel_231
0.0341010040284278,Parcel_232
0.0495927553868136,Parcel_233
0.0432264707435895,Parcel_234
0.0294617735677205,Parcel_235
0.0196434387834637,Parcel_236
0.0400616247809258,Parcel_237
0.0446679611628762,Parcel_238
0.0332401471536831,Parcel_239
0.0416154912441688,Parcel_240
0.0454389340442989,Parcel_241
0.0814983858074074,Parcel_242
0.0236023271967697,Parcel_243
0.0155338689043076,Parcel_244
0.0248808088218817,Parcel_245
0.025536522512754,Parcel_246
0.0356610184207791,Parcel_247
0.0527723098745846,Parcel_248
0.03953778811014,Parcel_249
0.0445489597804482,Parcel_250
0.0478340139796342,Parcel_251
0.0379914365781023,Parcel_252
0.0300218688252165,Parcel_253
0.0299301574974184,Parcel_254
0.0369410013032349,Parcel_255
0.0451526955775541,Parcel_256
0.0578006627917241,Parcel_257
0.0439820548559842,Parcel_258
0.036369872220438,Parcel_259
0.0449119595031309,Parcel_260
0.0197553894411568,Parcel_261
0.0252460366907374,Parcel_262
0.0227558794054183,Parcel_263
0.0345720213563301,Parcel_264
0.0280794175567092,Parcel_265
0.0413967070600651,Parcel_266
0.0135114916391474,Parcel_267
0.0168674371182031,Parcel_268
0.0196020491069658,Parcel_269
0.021332668206424,Parcel_270
0.0215100019754847,Parcel_271
0.0193256007728267,Parcel_272
0.0372017949026338,Parcel_273
0.0472001677499582,Parcel_274
0.0374885586880778,Parcel_275
0.0330924201870772,Parcel_276
0.0521105997175107,Parcel_277
0.0448088562775639,Parcel_278
0.0333182136428595,Parcel_279
0.0421481806994171,Parcel_280
0.0243634600880806,Parcel_281
0.0247068701236249,Parcel_282
0.0392410027967329,Parcel_283
0.0738489812479375,Parcel_284
0.0301238553359428,Parcel_285
0.045093878672343,Parcel_286
0.039184922302659,Parcel_287
0.0393676001154039,Parcel_288
0.0506820717212833,Parcel_289
0.0568659535505013,Parcel_290
0.032834952322258,Parcel_291
0.0535127932873886,Parcel_292
0.033941603086593,Parcel_293
0.037268046915314,Parcel_294
0.0409419683877163,Parcel_295
0.0434456039707782,Parcel_296
0.048805291154865,Parcel_297
0.0526355191589644,Parcel_298
0.0457000449592825,Parcel_299
0.0377882099876775,Parcel_300
0.0513027344735431,Parcel_301
0.060610292795661,Parcel_302
0.0499600888571863,Parcel_303
0.0544324278280168,Parcel_304
0.0516334782658891,Parcel_305
0.03519871376982,Parcel_306
0.0233671898128739,Parcel_307
0.0562637244252731,Parcel_308
0.0346366660662141,Parcel_309
0.0353730211058492,Parcel_310
0.0237196734736937,Parcel_311
0.023085077262578,Parcel_312
0.0353149498084201,Parcel_313
0.0222859729190686,Parcel_314
0.0220079394254674,Parcel_315
0.0342989367493622,Parcel_316
0.018937113807751,Parcel_317
0.033139660490713,Parcel_318
0.0276474670286846,Parcel_319
0.042216289050014,Parcel_320
0.039560617152367,Parcel_321
0.0525483901530781,Parcel_322
0.0504514219812688,Parcel_323
0.0632954954568476,Parcel_324
0.0370268273275126,Parcel_325
0.0377785081763396,Parcel_326
0.0112578096410959,Parcel_327
0.0102259339305696,Parcel_328
0.011794627428583,Parcel_329
0.0369752133972124,Parcel_330
0.0274655013574654,Parcel_331
0.0133719196624279,Parcel_332
0.0470406137077593,Parcel_333
0.047257728998156,Parcel_334
0.0368081433503245,Parcel_335
0.0363915104005618,Parcel_336
0.0439319474795781,Parcel_337
0.0621454230461089,Parcel_338
0.060019104154519,Parcel_339
0.070196125603311,Parcel_340
0.0498168683308676,Parcel_341
0.0496874666760428,Parcel_342
0.0227314509201025,Parcel_343
0.0203615519964526,Parcel_344
0.0342297845600751,Parcel_345
0.0507102491065999,Parcel_346
0.0608577623743464,Parcel_347
0.0558814533683344,Parcel_348
0.0288503045200225,Parcel_349
0.0341037669068876,Parcel_350
0.0361338371714946,Parcel_351
0.0445132105605046,Parcel_352
0.0240516777228125,Parcel_353
0.0287956941430132,Parcel_354
0.0222047496568509,Parcel_355
0.0207624029104125,Parcel_356
0.0581005461922536,Parcel_357
0.0808666007437796,Parcel_358
0.0516338591961047,Parcel_359
0.062404968618154,Parcel_360
0.0372823066133025,Parcel_361
0.0270203170488672,Parcel_362
0.0445655092216469,Parcel_363
0.0440545316961456,Parcel_364
0.0637409172092648,Parcel_365
0.0608565356319401,Parcel_366
0.0265030067038536,Parcel_367
0.0421846181958726,Parcel_368
0.0441157914004764,Parcel_369
0.0454081382651872,Parcel_370
0.019987454606708,Parcel_371
0.0265728815373531,Parcel_372
0.0404538634092702,Parcel_373
0.0307685553133063,Parcel_374
0.0109260216412967,Parcel_375
0.0156908789820254,Parcel_376
0.0289994556134156,Parcel_377
0.0293905111671547,Parcel_378
-0.0134601909124092,Parcel_379
-0.00372981045356851,Parcel_380
0.0147294809410669,Parcel_381
0.00505101432746781,Parcel_382
0.0519923213695846,Parcel_383
0.074998672743176,Parcel_384
0.0455825152601512,Parcel_385
0.024572322808488,Parcel_386
0.0281428530063413,Parcel_387
0.0360266718191132,Parcel_388
0.0345184804065317,Parcel_389
0.0459099554509991,Parcel_390
0.0410642270060642,Parcel_391
0.0444144837557649,Parcel_392
0.0347325899534116,Parcel_393
0.0727648674891733,Parcel_394
0.026692339563483,Parcel_395
0.0284967360654173,Parcel_396
0.0417988151457011,Parcel_397
0.023837033146189,Parcel_398
0.0252849796583751,Parcel_399
0.0253913280785606,Parcel_400
0.026314385459867,Parcel_401
0.0233297952544264,Parcel_402
0.0319547189989488,Parcel_403
0.0269561244224289,Parcel_404
0.0152177545474195,Parcel_405
0.0311338478730703,Parcel_406
0.02946810379078,Parcel_407
0.0322341140728482,Parcel_408
0.0362027588132186,Parcel_409
0.0388764061248077,Parcel_410
0.0402966634029513,Parcel_411
0.0178084643491388,Parcel_412
0.0391055215056038,Parcel_413
0.0308874538320331,Parcel_414
0.0238559846594176,Parcel_415
0.021337601406814,Parcel_416
0.0380157200297978,Parcel_417
-0.0150939395205253,Parcel_418
0.0431253871700021,Parcel_419
0.0380249899343641,Parcel_420
0.032054884417178,Parcel_421
0.0585981008663214,Parcel_422
0.0419845790784195,Parcel_423
0.0297457627123604,Parcel_424
0.0606632938969946,Parcel_425
0.0238601730979218,Parcel_426
0.0648490136997537,Parcel_427
0.0576605683022764,Parcel_428
0.0560674282970829,Parcel_429
0.0557231608093885,Parcel_430
0.0204915756185513,Parcel_431
0.0736984763474034,Parcel_432
0.0642662640491941,Parcel_433
0.0650032820563334,Parcel_434
0.120855900183868,Parcel_435
0.0225652544343676,Parcel_436
0.056665878369506,Parcel_437
0.0289851061091226,Parcel_438
0.0427120163820135,Parcel_439
0.0721156986631523,Parcel_440
0.0342559089929307,Parcel_441
0.0345673811926452,Parcel_442
0.0445938228738607,Parcel_443
0.0359473791745706,Parcel_444
0.0357119183995228,Parcel_445
0.0503095313292127,Parcel_446
0.0420377003942395,Parcel_447
0.00404891164370794,Parcel_448
0.0148645096018722,Parcel_449
0.0493510352324565,Parcel_450
0.0519081120556066,Parcel_451
0.0584543319830439,Parcel_452
0.0608629954375208,Parcel_453
0.0237025785761132,Parcel_454
0.0261451579209433,Parcel_455
0.00863997173191805,Parcel_456
0.0378873573688823,Parcel_457
0.0261278585066356,Parcel_458
0.0270269378926995,Parcel_459
0.0561450989497805,Parcel_460
0.0493787709566474,Parcel_461
0.0229421652106817,Parcel_462
0.0443416128557233,Parcel_463
0.0693162481749709,Parcel_464
0.0437088273453371,Parcel_465
0.0406619022830997,Parcel_466
0.035814988691932,Parcel_467
0.0391285744489842,Parcel_468
0.0430481592304256,Parcel_469
0.0826808527165146,Parcel_470
