component_01,component_02,component_03,timeSec
0.0934379753487894,0.0849548121202891,0.328014540688995,0
0.105556726420277,0.0896158851057563,0.375626041365005,0.72
0.0863432478597959,0.0619213075941869,0.344169799368342,1.44
0.0347945059836694,0.00209727823527847,0.248320052721559,2.16
-0.0377849431856389,-0.0780198185210834,0.119762056713943,2.88
-0.113071742380452,-0.158935598692229,-0.0141876240418099,3.6
-0.173580619231919,-0.220294183450582,-0.133679735415779,4.32
-0.210289284657283,-0.249839078877825,-0.2211625390478,5.04
-0.223353560881695,-0.246611001109632,-0.261676484765854,5.76
-0.214585152495895,-0.214291985022131,-0.250680569662234,6.48
-0.182054720344677,-0.154668835552433,-0.199340955798733,7.2
-0.124219368796482,-0.0706485624007385,-0.128543352471019,7.92
-0.0461518335023335,0.0275978690049686,-0.0577485942456444,8.64
0.04186712512051,0.124460997636349,-0.00069629586407697,9.36
0.130184717283566,0.206748286384978,0.0331065969134211,10.08
0.210494948125007,0.266814250070567,0.0392894121782474,10.8
0.271601514459483,0.298549959506196,0.0206374306012759,11.52
0.29943005769747,0.294784602227084,-0.0145328486232517,12.24
0.284614530411101,0.251687858058228,-0.055547330599186,12.96
0.229523601609323,0.174704374618076,-0.0908125558557929,13.68
0.146510237551881,0.0778909532440715,-0.108526550479016,14.4
0.0503466286635203,-0.0226576180796147,-0.0996764767318898,15.12
-0.0464014667679292,-0.113756700791799,-0.0634187824926234,15.84
-0.132851356223691,-0.185150848071861,-0.00908767419323518,16.56
-0.198570480569526,-0.228188262840355,0.0494700023245478,17.28
-0.234796773905976,-0.236897048109913,0.101512249997174,18
-0.237736213370263,-0.21141234153955,0.140532675764132,18.72
-0.211410232795701,-0.160327617494418,0.160347316566083,19.44
-0.166333550810323,-0.0977972942168773,0.153726346371666,20.16
-0.11360771099959,-0.0364064217041407,0.115650393392949,20.88
-0.060157516071682,0.0170451017128225,0.0480376213193592,21.6
-0.00953795366693698,0.0593628786811947,-0.03708415152732,22.32
0.0353072207964693,0.0879922298620303,-0.118900888125118,23.04
0.0719584407948565,0.102015408427038,-0.174709393775867,23.76
0.0992395762300257,0.103488472337029,-0.188349443802456,24.48
0.116673191752511,0.0959984796730296,-0.155206064637799,25.2
0.124752039593305,0.0833957275683231,-0.0833507462171859,25.92
0.125328166029597,0.0695011055132319,0.0078526942597389,26.64
0.119099889261546,0.0563759434520939,0.0915891597364846,27.36
0.103796557212971,0.0433001338505705,0.140949527590764,28.08
0.0785124790864485,0.0294840466256246,0.141909859224063,28.8
