component_01,component_02,component_03,component_04,component_05,component_06,subjectID
-28.3607067621947,-21.7481431042313,-9.1253710705178,-10.2639260124075,8.41314486167872,9.56279041405607,row_001
-27.0111260206477,-33.3559432994399,3.19615539951809,-20.3632196277313,5.37077443910397,16.9873077367512,row_002
-42.080541261315,-20.0008690489237,-32.6491788137847,-16.5249529367858,12.838863416612,16.4977723418457,row_003
-45.5407474732607,-29.8888267183266,-19.7716347156059,-17.6112932549653,16.8734206807496,13.8649836261467,row_004
-36.3602011332819,-26.4747673970404,-13.6603613031754,-19.6178514124126,8.21519354299065,12.228931506331,row_005
-35.7907165028068,-31.9740930884562,-9.18871542174754,-16.3879370349316,14.7187054655175,15.0444951226519,row_006
31.0740990449814,23.4251223236429,14.1450275783197,-3.05391882904306,-25.9660512889356,-13.651648065055,row_007
-13.3060984858804,-4.76847295965378,-9.80733315939053,-12.0185412186606,-0.670046721496124,9.88589169822128,row_008
-29.6244014848629,-32.6268350452524,2.65638172990171,-18.4747701657029,8.07847895274139,14.9356564937897,row_009
-14.8666274107212,-8.68017789452427,-5.30840456101068,-4.15327518288579,7.6332807017337,3.95192990327008,row_010
11.3612827040392,-4.73202462411312,15.6161667763716,3.04504211377461,-7.84986416637734,1.53221012677673,row_011
-14.7647930895558,-8.18291260506446,-10.2789357690124,-12.0347310873347,-1.47528398821018,5.92747963870271,row_012
-15.3144814010656,-26.6250708618382,5.30003251898735,-6.00838710610423,6.2129266266121,7.45578375338659,row_013
-28.303708470116,-25.9711310400798,-7.5701239859081,-14.7122626043218,10.411317701464,13.4154453339002,row_014
-2.43921688694851,-7.63842980947943,2.91947170820701,-6.33671927934961,1.12299172539984,0.630181702958603,row_015
-21.475008439421,-20.9858733809196,-6.05336534913589,-13.2450209852965,5.2383621144133,13.5949287341357,row_016
-38.4719918683731,-35.5224483496087,-6.74942647845968,-20.4022933277431,9.93036062174582,10.9557143743542,row_017
-50.6632846984328,-30.7734222819482,-24.4428169036457,-22.8334556665786,17.4797420539669,18.369871223408,row_018
-41.522868307861,-41.3790847744097,-10.0813118931381,-17.2365855851344,17.4661580815921,17.805555480759,row_019
-111.69044316242,-96.87740597494,-34.9295781628117,-33.2889038482622,45.6141519238534,41.6620734443769,row_020
2.81823940426693,-1.11714747324876,0.160181989033291,0.216762156127629,-1.30143284141673,-2.21915684171356,row_021
60.7319764580395,37.4558424950044,27.0745312451883,24.2780882806042,-19.0872897579615,-18.6815020981549,row_022
128.681226348641,104.012749562756,35.4396441166397,56.1086082823882,-52.5249758486225,-44.2759356045785,row_023
-55.2070246254957,-49.7275080192214,-17.1605694095226,-24.1355934521306,20.185308378348,18.0631262451103,row_024
-64.3650304027593,-48.6453431466521,-21.8111005956918,-11.7676679764047,36.1853010915305,20.5222745606284,row_025
-57.0451368051029,-38.2472522634982,-26.7339001343562,-23.4741796171993,19.8349192610036,21.2237393298409,row_026
-18.9533701077299,-27.5352270755803,4.012312006364,-18.5724830769276,3.68169358405476,7.88933022221705,row_027
-15.8025071380832,-7.05182232801024,-15.2123593200885,0.366997324604264,7.13191821068363,2.57952382912334,row_028
-46.0725131071093,-36.1895685123026,-16.9833840889134,-20.5236092377325,13.6577758422537,18.7234653912974,row_029
-119.32197105552,-94.5227956629768,-42.9229513354191,-64.1743836028674,25.501980332819,43.7991466995636,row_030
-37.4554733944972,-19.0777488986623,-22.1764735175781,-16.7277157543213,10.7702275822007,10.7215216258935,row_031
-62.0756430562845,-58.3866729784072,-18.4943726404541,-25.9298908110784,24.5547671519463,23.2297672045284,row_032
-48.4707280196728,-39.137667817021,-13.1259667370846,-19.674976556017,17.3643748340351,14.290090225571,row_033
-16.7090689661146,-13.5826492844244,-1.49677746414924,7.22516212123521,13.0325174741864,3.55140228610197,row_034
-54.2077598078462,-42.7336506222151,-18.5648395322096,-25.4493360018385,15.4730202909429,21.7206193242047,row_035
-25.657461238201,-15.6753968610027,-16.2782218321177,-9.4031943219953,7.23630647695222,9.92887549465459,row_036
-14.6385852506232,-4.27600902911141,-11.0628650839891,-7.8972418725771,0.381808283248487,4.76870613088058,row_037
-39.4905454225254,-23.8465200123725,-19.2916666950513,-9.32470822941649,19.7843019609472,12.1442343483276,row_038
31.5765036204977,12.5999757799564,23.5718797964523,9.64737061405155,-9.45698968435435,-11.5928013487125,row_039
-12.875599913536,-18.5548470433649,7.30246549309706,-9.5558025469583,1.91205271041113,11.4987061821441,row_040
-35.263969254442,-23.8133288789889,-13.989463855706,-23.0252800207798,1.43441930879817,16.0409634025222,row_041
21.9177049396586,-0.398500315857808,20.3279365522642,6.19331302777616,-10.511118394232,-7.32342408791186,row_042
-38.400081645014,-36.9745322018816,-3.93333975206213,-23.643234142106,8.81546607939206,16.1580397184921,row_043
-34.230088420735,-24.9215539036552,-15.1393017847195,-19.4205556929485,5.62706784738293,10.1286736453913,row_044
28.0836027894409,16.2687957301036,14.8900713214362,17.1627910309448,-5.9662165178781,-19.2833630381547,row_045
7.78303097821751,6.04675064768986,5.04340920247531,5.7917667919038,1.28920397778373,-5.80781411479055,row_046
-41.5342878769758,-34.9944227455967,-13.6526682887449,-15.8719221029355,13.6268860021952,16.8117561025309,row_047
43.9729153284552,33.651088198866,18.6762383373077,20.9335280665095,-10.4837413995038,-18.5337029886126,row_048
